personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Rick Caruso,4300,3000,True,63,Real Estate,United States,M
Jim Davis,4300,2000,True,62,Service,United States,M
Walter P.J. Droege,4300,10000,True,69,Finance & Investments,Germany,M
Dan Friedkin,4300,4000,False,57,Automotive,United States,M
Antti Herlin,4300,4000,False,65,Manufacturing,Finland,M
W. Herbert Hunt,4300,2000,False,93,Energy,United States,M
Jason Jiang,4300,6000,True,49,Media & Entertainment,China,M
"Rupert Johnson, Jr.",4300,4000,False,81,Finance & Investments,United States,M
Chris Larsen,4300,4000,True,61,Finance & Investments,United States,M
Richard Schulze,4300,4000,True,81,Fashion & Retail,United States,M
Paul Singer,4300,2000,True,77,Finance & Investments,United States,M
Mark Walter,4300,2000,True,61,Finance & Investments,United States,M
Ty Warner,4300,2000,True,77,Real Estate,United States,M
Rinat Akhmetov,4200,5000,True,55,Metals & Mining,Ukraine,M
Bernard Broermann,4200,4000,True,78,Healthcare,Germany,M
Daniel D'Aniello,4200,2000,True,75,Finance & Investments,United States,M
Piero Ferrari,4200,2000,False,76,Automotive,Italy,M
Carlo Fidani,4200,2000,False,67,Real Estate,Canada,M
Yakir Gabay,4200,3000,True,55,Real Estate,United Kingdom,M
Jaime Gilinski Bacal,4200,3000,False,64,Finance & Investments,United Kingdom,M
Bertil Hult,4200,4000,True,81,Service,Switzerland,M
Lee Yin Yee,4200,1000,True,70,Manufacturing,Hong Kong,M
Daniel Loeb,4200,3000,True,60,Finance & Investments,United States,M
Ajay Piramal,4200,4000,False,66,Healthcare,India,M
Lynsi Snyder,4200,1000,False,39,Food & Beverage,United States,F
Peter Spuhler,4200,2000,True,62,Manufacturing,Switzerland,M
Kerry Stokes,4200,3000,True,81,Diversified,Australia,M
Jon Stryker,4200,2000,False,63,Healthcare,United States,M
Vincent Viola,4200,2000,True,66,Finance & Investments,United States,M
Romesh T. Wadhwani,4200,3000,True,74,Technology,United States,M
Senapathy Gopalakrishnan,4100,1000,True,67,Technology,India,M
James Irving,4100,8000,False,94,Diversified,Canada,M
Samuel Tak Lee,4100,4000,False,82,Real Estate,Hong Kong,M
Thai Lee,4100,1000,True,63,Technology,United States,F
Eric Lefkofsky,4100,2000,True,52,Technology,United States,M
Thomas Secunda,4100,2000,True,67,Media & Entertainment,United States,M
Shaul Shani,4100,3000,True,67,Telecom,Italy,M
E. Joe Shoen,4100,2000,False,72,Automotive,United States,M
Steven Udvar-Hazy,4100,3000,True,76,Service,United States,M
Russ Weiner,4100,4000,True,51,Food & Beverage,United States,M
Somphote Ahunai,4000,3000,True,54,Energy,Thailand,M
Patrizio Bertelli,4000,3000,True,76,Fashion & Retail,Italy,M
Rakesh Gangwal,4000,3000,True,68,Service,United States,M
Michael Herz,4000,5000,False,78,Fashion & Retail,Germany,M
Wolfgang Herz,4000,5000,False,71,Fashion & Retail,Germany,M
Arthur Irving,4000,3000,False,92,Energy,Canada,M
Marc Ladreit de Lacharriere,4000,3000,True,81,Finance & Investments,France,M
Patrick Lee,4000,4000,True,80,Manufacturing,Hong Kong,M
Gilles Martin,4000,2000,True,58,Healthcare,France,M
Akio Nitori,4000,4000,True,78,Fashion & Retail,Japan,M
Daniel Och,4000,3000,True,61,Finance & Investments,United States,M
Pankaj Patel,4000,5000,False,69,Healthcare,India,M
John Paulson,4000,6000,True,66,Finance & Investments,United States,M
Miuccia Prada,4000,3000,False,72,Fashion & Retail,Italy,F
Jean (Gigi) Pritzker,4000,3000,False,59,Service,United States,F
Juan Roig,4000,4000,False,72,Fashion & Retail,Spain,M
David Rubenstein,4000,2000,True,72,Finance & Investments,United States,M
Howard Schultz,4000,2000,True,68,Food & Beverage,United States,M
Dan Snyder,4000,2000,True,57,Sports,United States,M
Jerzy Starak,4000,1000,True,74,Healthcare,Poland,M
Kelcy Warren,4000,4000,True,66,Energy,United States,M
Hubert Burda,3900,3000,False,82,Media & Entertainment,Germany,M
Francesco Gaetano Caltagirone,3900,2000,True,79,Construction & Engineering,Italy,M
"Stephen Mandel, Jr.",3900,2000,True,66,Finance & Investments,United States,M
Gabe Newell,3900,5000,True,59,Gambling & Casinos,United States,M
Maja Oeri,3900,2000,False,67,Healthcare,Switzerland,F
Neil Shen,3900,1000,True,54,Finance & Investments,China,M
Helmut Sohmen,3900,1000,False,82,Logistics,Hong Kong,M
Donald Sterling,3900,3000,True,87,Real Estate,United States,M
"William Conway, Jr.",3800,2000,True,72,Finance & Investments,United States,M
Luca Garavoglia,3800,2000,False,53,Food & Beverage,Italy,M
Jimmy Haslam,3800,3000,False,68,Fashion & Retail,United States,M
Timur Kulibaev,3800,3000,True,55,Finance & Investments,Kazakhstan,M
Dinara Kulibaeva,3800,3000,False,54,Finance & Investments,Kazakhstan,F
Michael Milken,3800,3000,True,75,Finance & Investments,United States,M
Denis O'Brien,3800,4000,True,63,Telecom,Ireland,M
James Packer,3800,4000,False,54,Gambling & Casinos,United States,M
Leena Tewari,3800,2000,False,64,Healthcare,India,F
Yitzhak Tshuva,3800,3000,True,73,Real Estate,Israel,M
Zeng Fangqin,3800,3000,True,56,Technology,China,F
Zhou Bajin,3800,1000,True,86,Manufacturing,China,M
William Berkley,3700,1000,True,75,Finance & Investments,United States,M
John Catsimatidis,3700,3000,True,73,Energy,United States,M
Che Jianxing,3700,4000,True,55,Fashion & Retail,China,M
Gustavo Denegri,3700,2000,True,85,Healthcare,Italy,M
Charles Edelstenne,3700,1000,True,84,Manufacturing,France,M
Reed Hastings,3700,2000,True,61,Media & Entertainment,United States,M
"Amos Hostetter, Jr.",3700,3000,True,85,Media & Entertainment,United States,M
Friedrich Knapp,3700,1000,True,70,Fashion & Retail,Germany,M
William Lauder,3700,1000,False,61,Fashion & Retail,United States,M
Li Guoqiang,3700,1000,True,58,Automotive,China,M
Low Tuck Kwong,3700,1000,True,73,Energy,Indonesia,M
Anthony Pritzker,3700,3000,False,61,Service,United States,M
Ira Rennert,3700,3000,True,87,Finance & Investments,United States,M
"Bernard Saul, II.",3700,3000,False,89,Finance & Investments,United States,M
Steven Spielberg,3700,3000,True,75,Media & Entertainment,United States,M
Wong Luen Hei,3700,1000,True,60,Manufacturing,Hong Kong,M
Cho Tak Wong,3600,2000,True,75,Manufacturing,China,M
Charles Cohen,3600,3000,False,70,Real Estate,United States,M
Martin Ebner,3600,3000,True,76,Finance & Investments,Switzerland,M
David Filo,3600,5000,True,55,Technology,United States,M
Miguel Fluxa Rossello,3600,4000,False,83,Service,Spain,M
John Henry,3600,2000,True,72,Sports,United States,M
Hu Kaijun,3600,2000,True,60,Healthcare,China,M
Peter Kellogg,3600,3000,False,79,Finance & Investments,United States,M
James Leprino,3600,3000,False,84,Food & Beverage,United States,M
Iskander Makhmudov,3600,7000,True,58,Metals & Mining,Russia,M
Daniel Mate,3600,2000,True,58,Metals & Mining,Switzerland,M
Aristotelis Mistakidis,3600,2000,True,60,Metals & Mining,Switzerland,M
Arturo Moreno,3600,2000,True,75,Sports,United States,M
Nan Cunhui,3600,1000,True,58,Manufacturing,China,M
Julio Ponce Lerou,3600,4000,True,76,Metals & Mining,Chile,M
Chandru Raheja,3600,2000,False,81,Real Estate,India,M
Shi Yuzhu,3600,2000,True,59,Diversified,China,M
Jerry Speyer,3600,3000,True,81,Real Estate,United States,M
Tung Chee Chen,3600,2000,False,79,Logistics,Hong Kong,M
Roger Wang,3600,4000,True,73,Fashion & Retail,China,M
Wu Shaoxun,3600,7000,True,66,Food & Beverage,China,M
Carl Douglas,3500,1000,False,60,Diversified,Sweden,M
Eric Douglas,3500,1000,False,53,Diversified,Sweden,M
Juan Carlos Escotet,3500,4000,True,62,Finance & Investments,Spain,M
Fiona Geminder,3500,2000,False,57,Manufacturing,Australia,F
James Irsay,3500,2000,False,62,Sports,United States,M
Kuok Khoon Hong,3500,2000,False,72,Manufacturing,Singapore,M
Jeffrey Lurie,3500,2000,False,70,Sports,United States,M
Mary Alice Dorrance Malone,3500,3000,False,72,Food & Beverage,United States,F
Ronald McAulay,3500,3000,False,86,Energy,Hong Kong,M
Arnon Milchan,3500,3000,True,77,Media & Entertainment,Israel,M
Masahiro Noda,3500,1000,True,83,Technology,Japan,M
Lynn Schusterman,3500,3000,False,83,Energy,United States,F
Gil Shwed,3500,2000,True,53,Technology,Israel,M
Thomas Siebel,3500,2000,True,69,Technology,United States,M
Friede Springer,3500,5000,False,79,Media & Entertainment,Germany,F
Wang Zhenhua,3500,3000,True,60,Real Estate,China,M
Hans Peter Wild,3500,3000,False,80,Food & Beverage,Switzerland,M
"William Wrigley, Jr.",3500,2000,False,58,Food & Beverage,United States,M
Xia Zuoquan,3500,1000,True,60,Automotive,China,M
Xue Hua,3500,1000,True,52,Manufacturing,China,M
Mohed Altrad,3400,2000,True,74,Construction & Engineering,France,M
Sid Bass,3400,3000,False,79,Energy,United States,M
Nick Caporella,3400,3000,True,86,Food & Beverage,United States,M
David Gottesman,3400,2000,True,95,Finance & Investments,United States,M
John Middleton,3400,3000,False,67,Food & Beverage,United States,M
Nandan Nilekani,3400,1000,True,66,Technology,India,M
Bob Parsons,3400,2000,True,71,Technology,United States,M
Prasert Prasarttong-Osoth,3400,3000,True,89,Healthcare,Thailand,M
Richard Sands,3400,3000,False,71,Food & Beverage,United States,M
Robert Sands,3400,3000,False,63,Food & Beverage,United States,M
T. Denny Sanford,3400,2000,True,86,Finance & Investments,United States,M
Naguib Sawiris,3400,4000,False,67,Telecom,Egypt,M
Pavel Tykac,3400,1000,True,57,Metals & Mining,Czechia,M
Meg Whitman,3400,3000,True,65,Technology,United States,F
An Kang,3300,1000,True,73,Healthcare,China,M
John Arnold,3300,3000,True,48,Finance & Investments,United States,M
Tomasz Biernacki,3300,1000,True,49,Fashion & Retail,Poland,M
Ralph Dommermuth,3300,5000,True,58,Technology,Germany,M
Walter Faria,3300,3000,True,67,Food & Beverage,Brazil,M
Bob Gaglardi,3300,2000,True,81,Real Estate,Canada,M
John Gandel,3300,4000,False,87,Real Estate,Australia,M
Micky Jagtiani,3300,4000,False,70,Fashion & Retail,United Arab Emirates,M
H. Fisk Johnson,3300,3000,False,63,Manufacturing,United States,M
S. Curtis Johnson,3300,3000,False,66,Manufacturing,United States,M
Helen Johnson-Leipold,3300,3000,False,65,Manufacturing,United States,F
Miguel Krigsner,3300,1000,True,72,Fashion & Retail,Brazil,M
Lin Ming-hsiung,3300,1000,True,72,Fashion & Retail,Taiwan,M
Kiran Mazumdar-Shaw,3300,3000,True,69,Healthcare,India,F
Patrice Motsepe,3300,2000,True,60,Metals & Mining,South Africa,M
Alfred Oetker,3300,2000,False,55,Fashion & Retail,Germany,M
Carl Ferdinand Oetker,3300,2000,False,49,Fashion & Retail,Germany,M
Julia Oetker,3300,2000,False,43,Fashion & Retail,Germany,F
Or Wai Sheun,3300,2000,True,70,Real Estate,Hong Kong,M
Jay Paul,3300,2000,True,74,Real Estate,United States,M
Theodore Rachmat,3300,1000,False,78,Diversified,Indonesia,M
John Sall,3300,4000,True,74,Technology,United States,M
Stefan von Holtzbrinck,3300,1000,False,58,Media & Entertainment,Germany,M
Nusli Wadia,3300,6000,False,78,Food & Beverage,India,M
Steve Wynn,3300,3000,True,80,Gambling & Casinos,United States,M
Vanich Chaiyawan,3200,3000,True,90,Finance & Investments,Thailand,M
James Clark,3200,2000,True,78,Technology,United States,M
Jack Cowin,3200,1000,True,79,Food & Beverage,Australia,M
Sergei Galitsky,3200,4000,True,54,Fashion & Retail,Russia,M
Peter Gilgan,3200,3000,True,71,Construction & Engineering,Canada,M
Joseph Grendys,3200,2000,True,60,Food & Beverage,United States,M
Thomas Hagen,3200,2000,False,86,Finance & Investments,United States,M
Michael Hintze,3200,2000,True,68,Finance & Investments,United Kingdom,M
Pansy Ho,3200,5000,False,59,Gambling & Casinos,Hong Kong,F
Alan Howard,3200,1000,True,58,Finance & Investments,Switzerland,M
Kei Hoi Pang,3200,5000,True,56,Real Estate,Hong Kong,M
Najib Mikati,3200,2000,True,66,Telecom,Lebanon,M
Taha Mikati,3200,2000,True,77,Telecom,Lebanon,M
Gail Miller,3200,1000,True,78,Automotive,United States,F
Vikas Oberoi,3200,2000,False,51,Real Estate,India,M
"H. Ross Perot, Jr.",3200,2000,False,63,Real Estate,United States,M
Penny Pritzker,3200,2000,False,62,Finance & Investments,United States,F
Yasumitsu Shigeta,3200,4000,True,57,Telecom,Japan,M
Rita Tong Liu,3200,3000,True,73,Real Estate,Hong Kong,F
Zhang Daocai,3200,1000,True,72,Diversified,China,M
John Caudwell,3100,2000,True,69,Telecom,United Kingdom,M
Philippe Foriel-Destezet,3100,2000,True,86,Service,United Kingdom,M
Mitchell Goldhar,3100,2000,True,60,Real Estate,Canada,M
Otto Happel,3100,3000,False,74,Construction & Engineering,Switzerland,M
Peter Hargreaves,3100,3000,True,75,Finance & Investments,United Kingdom,M
Lu Weiding,3100,1000,False,51,Diversified,China,M
Harsh Mariwala,3100,2000,False,70,Food & Beverage,India,M
Sergei Popov,3100,4000,True,50,Finance & Investments,Switzerland,M
Haim Saban,3100,3000,True,77,Media & Entertainment,United States,M
Pat Stryker,3100,3000,False,65,Healthcare,United States,F
Jeff Sutton,3100,4000,True,62,Real Estate,United States,M
Jon Yarbrough,3100,2000,True,64,Gambling & Casinos,United States,M
Yi Zheng,3100,1000,True,51,Technology,China,M
Zhang Fan,3100,2000,True,56,Technology,China,M
William Ackman,3000,1000,True,55,Finance & Investments,United States,M
Markus Blocher,3000,1000,False,51,Manufacturing,Switzerland,M
Eva Maria Bucher-Haefner,3000,2000,False,65,Technology,Switzerland,F
Todd Christopher,3000,2000,True,59,Fashion & Retail,United States,M
Gudrun Heine,3000,1000,False,67,Healthcare,Germany,F
Heidi Horten,3000,3000,False,81,Fashion & Retail,Austria,F
Liang Yunchao,3000,2000,True,53,Food & Beverage,China,M
Strive Masiyiwa,3000,1000,True,61,Telecom,United Kingdom,M
Masahiro Miki,3000,3000,True,66,Fashion & Retail,Japan,M
Karsanbhai Patel,3000,3000,True,78,Diversified,India,M
Arvind Poddar,3000,2000,False,64,Automotive,India,M
Remo Ruffini,3000,1000,True,60,Fashion & Retail,Italy,M
Eddy Kusnadi Sariaatmadja,3000,1000,True,68,Media & Entertainment,Indonesia,M
Sybill Storz,3000,1000,False,84,Healthcare,Germany,F
Lawrence Stroll,3000,2000,True,62,Fashion & Retail,Switzerland,M
Donald Trump,3000,3000,False,75,Real Estate,United States,M
John Tyson,3000,2000,False,68,Food & Beverage,United States,M
Rufino Vigil Gonzalez,3000,1000,True,73,Metals & Mining,Mexico,M
Charles Zegar,3000,2000,True,74,Media & Entertainment,United States,M
Mortimer Zuckerman,3000,2000,True,84,Real Estate,United States,M
Juan Abello,2900,2000,False,80,Finance & Investments,Spain,M
Miriam Baumann-Blocher,2900,1000,False,47,Manufacturing,Switzerland,F
Nicolas Berggruen,2900,1000,False,60,Real Estate,United States,M
Joseph Edelman,2900,1000,True,66,Finance & Investments,United States,M
N. Murray Edwards,2900,1000,True,62,Energy,United Kingdom,M
Jane Goldman,2900,3000,False,66,Real Estate,United States,F
Hamilton James,2900,1000,True,70,Finance & Investments,United States,M
Li Zhongchu,2900,2000,True,58,Technology,China,M
"Drayton McLane, Jr.",2900,2000,False,85,Fashion & Retail,United States,M
Roger Penske,2900,1000,True,85,Automotive,United States,M
Jean Salata,2900,1000,True,56,Finance & Investments,Hong Kong,M
Martua Sitorus,2900,1000,True,62,Manufacturing,Singapore,M
Zygmunt Solorz-Zak,2900,2000,True,65,Media & Entertainment,Poland,M
Warren Stephens,2900,2000,False,65,Finance & Investments,United States,M
Frank VanderSloot,2900,2000,True,73,Fashion & Retail,United States,M
Zhou Jianping,2900,4000,True,61,Fashion & Retail,China,M
Brian Acton,2800,6000,True,50,Technology,United States,M
Bill Alfond,2800,1000,False,73,Fashion & Retail,United States,M
Susan Alfond,2800,1000,False,76,Fashion & Retail,United States,F
Ted Alfond,2800,1000,False,77,Fashion & Retail,United States,M
Maurizio Billi,2800,1000,False,64,Healthcare,Brazil,M
Otto Philipp Braun,2800,4000,False,44,Healthcare,Germany,M
Garrett Camp,2800,4000,True,43,Technology,United States,M
John Paul DeJoria,2800,3000,True,77,Fashion & Retail,United States,M
Beda Diethelm,2800,1000,True,81,Healthcare,Switzerland,M
K. Dinesh,2800,1000,True,67,Technology,India,M
Bennett Dorrance,2800,2000,False,76,Food & Beverage,United States,M
Marcel Erni,2800,2000,True,57,Finance & Investments,Switzerland,M
Abhay Firodia,2800,2000,False,77,Automotive,India,M
Alfred Gantner,2800,2000,True,54,Finance & Investments,Switzerland,M
Allan Goldman,2800,3000,False,79,Real Estate,United States,M
Amy Goldman Fowler,2800,3000,False,67,Real Estate,United States,F
J. Tomilson Hill,2800,1000,True,73,Finance & Investments,United States,M
James Jannard,2800,4000,True,72,Fashion & Retail,United States,M
Travis Kalanick,2800,4000,True,45,Technology,United States,M
Diane Kemper,2800,3000,False,76,Real Estate,United States,F
Kwek Leng Beng,2800,2000,False,81,Diversified,Singapore,M
Angela Leong,2800,3000,False,61,Real Estate,Hong Kong,F
Sergio Mantegazza,2800,2000,True,94,Service,Switzerland,M
Hans Melchers,2800,2000,True,83,Finance & Investments,Netherlands,M
Tom Morris,2800,3000,True,67,Fashion & Retail,United Kingdom,M
Philip Niarchos,2800,2000,False,68,Diversified,France,M
Sean Parker,2800,2000,True,42,Technology,United States,M
Richard Peery,2800,2000,True,83,Real Estate,United States,M
Jeff Rothschild,2800,2000,True,67,Technology,United States,M
Stephen Smith,2800,1000,True,70,Finance & Investments,Canada,M
William Stone,2800,1000,True,66,Technology,United States,M
Sun Hongbin,2800,7000,True,59,Real Estate,China,M
Sun Shoukuan,2800,1000,True,72,Manufacturing,China,M
Andrew Tan,2800,2000,True,70,Diversified,Philippines,M
Kenneth Tuchman,2800,1000,True,62,Service,United States,M
Tung Chee Hwa,2800,2000,False,84,Logistics,Hong Kong,M
Bulat Utemuratov,2800,2000,True,64,Metals & Mining,Kazakhstan,M
Urs Wietlisbach,2800,2000,True,60,Finance & Investments,Switzerland,M
Wong Man Li,2800,2000,True,57,Manufacturing,Hong Kong,M
Ben Ashkenazy,2700,4000,True,52,Real Estate,United States,M
Yvonne Bauer,2700,3000,False,45,Media & Entertainment,Germany,F
Giuliana Benetton,2700,3000,True,84,Fashion & Retail,Italy,F
Luciano Benetton,2700,3000,True,86,Fashion & Retail,Italy,M
Aneel Bhusri,2700,1000,True,56,Technology,United States,M
George Bishop,2700,2000,True,84,Energy,United States,M
Vivek Chand Burman,2700,2000,False,84,Food & Beverage,India,M
Morris Chang,2700,1000,True,90,Technology,Taiwan,M
Jack Cockwell,2700,1000,True,81,Finance & Investments,Canada,M
"Edward DeBartolo, Jr.",2700,2000,False,75,Real Estate,United States,M
Abilio dos Santos Diniz,2700,3000,False,85,Fashion & Retail,Brazil,M
"John Dorrance, III.",2700,2000,False,78,Food & Beverage,Ireland,M
Carlos Hank Rhon,2700,2000,False,74,Diversified,Mexico,M
Brad Kelley,2700,2000,True,65,Real Estate,United States,M
Alicia Koplowitz,2700,2000,False,68,Finance & Investments,Spain,F
C. Dean Metropoulos,2700,2000,True,75,Food & Beverage,United States,M
Dan Olsson,2700,6000,False,75,Diversified,Sweden,M
Tor Peterson,2700,2000,True,57,Metals & Mining,Switzerland,M
John Pritzker,2700,2000,False,68,Finance & Investments,United States,M
Hussain Sajwani,2700,4000,True,69,Real Estate,United Arab Emirates,M
Jerry Yang,2700,2000,True,53,Technology,United States,M
Takao Yasuda,2700,2000,True,72,Fashion & Retail,Singapore,M
Harindarpal Banga,2600,1000,True,71,Finance & Investments,Hong Kong,M
Anne Beaufour,2600,3000,False,58,Healthcare,United Kingdom,F
Henri Beaufour,2600,3000,False,56,Healthcare,United Kingdom,M
Norman Braman,2600,2000,True,89,Automotive,United States,M
J. Hyatt Brown,2600,1000,False,84,Finance & Investments,United States,M
Chen Lip Keong,2600,3000,True,74,Gambling & Casinos,Cambodia,M
Dong Wei,2600,2000,True,51,Healthcare,China,M
"Frank Fertitta, III.",2600,2000,False,60,Sports,United States,M
Lorenzo Fertitta,2600,2000,False,53,Sports,United States,M
Doris Fisher,2600,2000,True,90,Fashion & Retail,United States,F
Alec Gores,2600,2000,True,69,Finance & Investments,United States,M
Igor Kesaev,2600,2000,True,55,Fashion & Retail,Russia,M
Raj Kumar & Kishin RK,2600,2000,False,67,Real Estate,Singapore,M
Nirmal Minda,2600,1000,False,64,Automotive,India,M
Farhad Moshiri,2600,1000,True,66,Diversified,Monaco,M
Hans Georg Naeder,2600,3000,False,60,Manufacturing,Germany,M
Eren Ozmen,2600,1000,True,63,Manufacturing,United States,F
Ronald Perelman,2600,9000,True,79,Finance & Investments,United States,M
Ravi Pillai,2600,3000,True,68,Construction & Engineering,United Arab Emirates,M
Daniel Pritzker,2600,2000,False,62,Finance & Investments,United States,M
Matthias Reinhart,2600,1000,True,62,Finance & Investments,Switzerland,M
Alejandro Santo Domingo,2600,4000,False,45,Food & Beverage,United States,M
Vivek Chaand Sehgal,2600,6000,True,65,Automotive,India,M
Kavitark Ram Shriram,2600,2000,True,65,Technology,United States,M
Oprah Winfrey,2600,2000,True,68,Media & Entertainment,United States,F
Suhail Bahwan,2500,3000,True,83,Diversified,Oman,M
Thor Bjorgolfsson,2500,2000,True,55,Diversified,United Kingdom,M
Charles Bronfman,2500,2000,False,90,Food & Beverage,Canada,M
Leon G. Cooperman,2500,3000,True,78,Finance & Investments,United States,M
Smita Crishna-Godrej,2500,2000,False,71,Diversified,India,F
Jacques D'Amours,2500,1000,True,65,Fashion & Retail,Canada,M
Gerald Ford,2500,2000,True,77,Finance & Investments,United States,M
Adi Godrej,2500,2000,False,80,Diversified,India,M
Jamshyd Godrej,2500,2000,False,73,Diversified,India,M
Nadir Godrej,2500,2000,False,71,Diversified,India,M
Sanjiv Goenka,2500,2000,False,61,Diversified,India,M
Stein Erik Hagen,2500,2000,True,65,Fashion & Retail,Norway,M
Baba Kalyani,2500,3000,False,73,Construction & Engineering,India,M
Stephen Lansdown,2500,2000,True,69,Finance & Investments,Guernsey,M
William Li,2500,1000,True,47,Automotive,China,M
Aloke Lohia,2500,2000,False,63,Manufacturing,Thailand,M
Mohamed Mansour,2500,2000,True,74,Diversified,Egypt,M
Kishore Mariwala,2500,1000,False,87,Food & Beverage,India,M
Willy Michel,2500,1000,True,75,Healthcare,Switzerland,M
Lachhman Das Mittal,2500,2000,False,91,Automotive,India,M
Charles Munger,2500,1000,True,98,Finance & Investments,United States,M
Rishad Naoroji,2500,2000,False,70,Diversified,India,M
Fatih Ozmen,2500,1000,True,64,Manufacturing,United States,M
Stewart Rahr,2500,2000,False,76,Healthcare,United States,M
Glen Taylor,2500,2000,True,80,Service,United States,M
Zhao Tao,2500,2000,False,56,Healthcare,China,M
Edward Bass,2400,2000,False,76,Energy,United States,M
Chao Teng-hsiung,2400,1000,True,77,Real Estate,Taiwan,M
Choo Chong Ngen,2400,2000,True,68,Real Estate,Singapore,M
John Coates,2400,2000,True,52,Gambling & Casinos,United Kingdom,M
Alexandra Daitch,2400,2000,False,59,Food & Beverage,United States,F
John Fisher,2400,2000,False,60,Fashion & Retail,United States,M
Caroline Hagen Kjos,2400,2000,False,38,Diversified,Switzerland,F
Lam Kong,2400,2000,True,57,Healthcare,Hong Kong,M
Peter Lim,2400,2000,True,68,Finance & Investments,Singapore,M
Sarah MacMillan,2400,2000,False,68,Food & Beverage,United States,F
Kalanithi Maran,2400,5000,True,56,Media & Entertainment,India,M
Lirio Parisotto,2400,1000,True,68,Finance & Investments,Brazil,M
Alberto Roemmers,2400,1000,False,95,Healthcare,Argentina,M
Rodney Sacks,2400,2000,True,72,Food & Beverage,United States,M
Ferit Faik Sahenk,2400,2000,False,58,Diversified,Turkey,M
Hilton Schlosberg,2400,2000,True,69,Food & Beverage,United States,M
Lucy Stitzer,2400,2000,False,62,Food & Beverage,United States,F
Katsumi Tada,2400,2000,True,76,Real Estate,Japan,M
Tang Yiu,2400,2000,True,88,Fashion & Retail,Hong Kong,M
Hamdi Ulukaya,2400,1000,True,49,Food & Beverage,United States,M
Peter Unger,2400,2000,True,77,Automotive,Germany,M
Zhang Hongwei,2400,1000,True,67,Diversified,China,M
Zhang Li,2400,3000,True,69,Real Estate,China,M
Alex Beard,2300,1000,True,54,Metals & Mining,United Kingdom,M
Koos Bekker,2300,2000,True,69,Media & Entertainment,South Africa,M
Timothy Boyle,2300,2000,True,72,Fashion & Retail,United States,M
Anand Burman,2300,1000,False,69,Food & Beverage,India,M
Richard Chandler,2300,2000,False,63,Finance & Investments,Singapore,M
R.G. Chandramogan,2300,1000,True,73,Food & Beverage,India,M
Chu Lam Yiu,2300,2000,True,52,Manufacturing,Hong Kong,F
Kommer Damen,2300,1000,False,78,Manufacturing,Netherlands,M
Henry Davis,2300,1000,False,71,Food & Beverage,United States,M
Ray Davis,2300,2000,True,80,Energy,United States,M
Stephen Feinberg,2300,1000,True,62,Finance & Investments,United States,M
Alexander Frolov,2300,2000,True,57,Metals & Mining,Russia,M
Serge Godin,2300,1000,True,72,Technology,Canada,M
Noam Gottesman,2300,2000,True,60,Finance & Investments,United States,M
Yusuf Hamied,2300,1000,False,85,Healthcare,India,M
Bill Haslam,2300,2000,False,63,Fashion & Retail,United States,M
Hans-Werner Hector,2300,2000,True,82,Technology,Germany,M
Douglas Hsu,2300,1000,False,79,Diversified,Taiwan,M
Erman Ilicak,2300,4000,True,54,Construction & Engineering,Turkey,M
Osman Kibar,2300,2000,True,51,Healthcare,United States,M
Frank Laukien,2300,1000,False,62,Manufacturing,United States,M
Louis Le Duff,2300,2000,True,75,Food & Beverage,France,M
Solomon Lew,2300,1000,True,77,Fashion & Retail,Australia,M
Liang Zhaoxian,2300,1000,False,57,Manufacturing,China,M
Prayudh Mahagitsiri,2300,1000,False,76,Food & Beverage,Thailand,M
Clayton Mathile,2300,2000,True,81,Food & Beverage,United States,M
Erwin Franz Mueller,2300,2000,True,89,Fashion & Retail,Germany,M
David Murdock,2300,2000,True,98,Food & Beverage,United States,M
Rubens Ometto Silveira Mello,2300,1000,False,72,Energy,Brazil,M
Heloise Pratt,2300,2000,False,59,Manufacturing,Australia,F
Stephan Schmidheiny,2300,2000,False,74,Finance & Investments,Switzerland,M
Thomas Tull,2300,1000,True,51,Media & Entertainment,United States,M
Ted Turner,2300,2000,False,83,Media & Entertainment,United States,M
David Walentas,2300,2000,True,83,Real Estate,United States,M
Christoph Zeller,2300,3000,False,64,Healthcare,Liechtenstein,M
Zhang Wanzhen,2300,1000,True,72,Manufacturing,China,M
Michael Ashcroft,2200,1000,True,76,Finance & Investments,Turks and Caicos Islands,M
Brett Blundy,2200,1000,True,62,Fashion & Retail,Bahamas,M
Robert Friedland,2200,1000,True,71,Metals & Mining,Singapore,M
Phillip Frost,2200,2000,True,85,Healthcare,United States,M
Jeffrey Gundlach,2200,1000,True,63,Finance & Investments,United States,M
John Hancock,2200,1000,False,46,Metals & Mining,United Kingdom,M
Hortensia Herrero,2200,2000,False,71,Fashion & Retail,Spain,F
"B. Wayne Hughes, Jr.",2200,1000,False,61,Real Estate,United States,M
Bruce Karsh,2200,2000,True,66,Finance & Investments,United States,M
Christian Latouche,2200,2000,True,81,Finance & Investments,France,M
Martin Lau,2200,2000,True,49,Technology,Hong Kong,M
Li Wa,2200,3000,True,56,Real Estate,China,M
Liang Xinjun,2200,3000,True,54,Diversified,China,M
Lin Fanlian,2200,1000,True,60,Energy,China,M
Howard Marks,2200,2000,True,75,Finance & Investments,United States,M
Craig McCaw,2200,1000,False,72,Telecom,United States,M
Vincent McMahon,2200,1000,True,76,Sports,United States,M
Jonathan Nelson,2200,2000,True,65,Finance & Investments,United States,M
