personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Jim Pattison,12200,6000,True,93,Diversified,Canada,M
Charles Schwab,12200,9000,True,84,Finance & Investments,United States,M
Goh Cheng Liang,12100,7000,True,94,Manufacturing,Singapore,M
Charoen Sirivadhanabhakdi,12000,17000,True,77,Food & Beverage,Thailand,M
John Fredriksen,11900,7000,True,77,Logistics,United Kingdom,M
Mikhail Fridman,11800,15000,True,57,Energy,United Kingdom,M
Sarath Ratanavadi,11800,3000,True,56,Energy,Thailand,M
Robert Kuok,11700,14000,True,98,Diversified,Hong Kong,M
Lei Jun,11700,12000,True,52,Technology,China,M
Lui Che Woo,11600,20000,True,93,Gambling & Casinos,Hong Kong,M
Brian Chesky,11500,3000,True,40,Technology,United States,M
Israel Englander,11500,5000,True,73,Finance & Investments,United States,M
Dustin Moskovitz,11500,14000,True,37,Technology,United States,M
Alisher Usmanov,11500,12000,True,68,Metals & Mining,Russia,M
Anthony Pratt,11400,5000,False,61,Manufacturing,Australia,M
Pierre Omidyar,11300,10000,True,54,Technology,United States,M
Gennady Timchenko,11300,16000,True,69,Energy,Russia,M
Carl Cook,11100,8000,False,59,Healthcare,United States,M
Andrey Melnichenko,11100,15000,True,50,Metals & Mining,Russia,M
Philip Anschutz,10900,13000,False,82,Finance & Investments,United States,M
David Cheriton,10900,6000,True,71,Technology,United States,M
Alexander Otto,10900,11000,False,54,Real Estate,Germany,M
Diane Hendricks,10700,5000,True,75,Construction & Engineering,United States,F
Stanley Kroenke,10700,8000,True,74,Sports,United States,M
Jerry Jones,10600,5000,True,79,Sports,United States,M
Quek Leng Chan,10600,7000,False,80,Diversified,Malaysia,M
Eduardo Saverin,10600,10000,True,40,Technology,Singapore,M
Vagit Alekperov,10500,16000,True,71,Energy,Russia,M
Idan Ofer,10500,3000,False,66,Diversified,United Kingdom,M
"Chase Coleman, III.",10300,2000,True,46,Finance & Investments,United States,M
Stefano Pessina,10300,11000,False,80,Fashion & Retail,Monaco,M
Mikhail Prokhorov,10300,9000,True,56,Finance & Investments,Russia,M
Marcel Herrmann Telles,10300,14000,True,72,Food & Beverage,Brazil,M
Leon Black,10000,6000,True,70,Finance & Investments,United States,M
Joe Gebbia,10000,3000,True,40,Technology,United States,M
David Geffen,10000,8000,True,79,Media & Entertainment,United States,M
Andrew Beal,9900,11000,True,69,Finance & Investments,United States,M
