rank,personName,age,finalWorth,category,country,gender_F,gender_M
135,Zhou Hongyi,47,11000,8,26,0,1
137,Gong Hongjia,53,11000,10,1,0,1
138,Michael Otto,74,11000,17,62,0,1
138,David Tepper,60,11000,10,20,0,1
140,Roman Abramovich,51,10000,13,35,0,1
140,Liu Qiangdong,43,10000,8,26,0,1
143,Alberto Bailleres Gonzalez,86,10000,0,37,0,1
143,Uday Kotak,58,10000,10,44,0,1
145,Pierre Omidyar,50,10000,8,20,0,1
146,Walter P.J. Droege,65,10000,11,62,0,1
147,Dietmar Hopp,77,10000,8,62,0,1
148,Graeme Hart,62,10000,10,71,0,1
148,Eduardo Saverin,35,10000,8,17,0,1
148,Yan Zhi,45,10000,14,26,0,1
151,Radhakishan Damani,63,10000,10,44,0,1
152,German Khan,56,9000,2,35,0,1
152,Ronald Perelman,75,9000,10,20,0,1
154,Gautam Adani,55,9000,13,44,0,1
154,Micky Arison,68,9000,11,20,0,1
154,Pan Zhengmin,48,9000,8,26,0,1
154,Joseph Tsai,54,9000,8,49,0,1
158,"Thomas Frist, Jr.",79,9000,1,20,0,1
158,Mikhail Prokhorov,52,9000,10,35,0,1
160,Galen Weston,77,9000,17,49,0,1
160,Zong Qinghou,72,9000,16,26,0,1
162,Eyal Ofer,67,9000,13,30,0,1
162,Charles Schwab,80,9000,10,20,0,1
164,"Herbert Kohler, Jr.",79,9000,12,20,0,1
164,Viktor Rashnikov,69,9000,12,35,0,1
167,Harry Triguboff,85,9000,14,65,0,1
167,August von Finck,87,9000,10,62,0,1
167,Yao Zhenhua,48,9000,13,26,0,1
170,Jan Koum,42,9000,8,20,0,1
170,Cyrus Poonawalla,76,9000,1,44,0,1
172,James Goodnight,75,9000,8,20,0,1
172,Ken Griffin,49,9000,10,20,0,1
174,Giorgio Armani,83,8000,17,48,0,1
174,Ernesto Bertarelli,52,8000,1,70,0,1
176,Savitri Jindal,67,8000,0,44,1,0
176,Sunil Mittal,60,8000,18,44,0,1
178,James Chambers,60,8000,5,20,0,1
178,Katharine Rayner,73,8000,5,20,1,0
178,Margaretta Taylor,75,8000,5,20,1,0
181,Terry Gou,67,8000,8,24,0,1
181,Gordon Moore,89,8000,8,20,0,1
183,James Irving,89,8000,13,49,0,1
183,Stanley Kroenke,70,8000,9,20,0,1
185,Melker Schorling,70,8000,10,18,0,1
186,Johann Graf,71,8000,4,0,0,1
186,Guo Guangchang,51,8000,13,26,0,1
186,John Malone,77,8000,5,20,0,1
186,Xavier Niel,50,8000,18,36,0,1
190,Silvio Berlusconi,81,8000,13,48,0,1
190,Carl Cook,55,8000,1,20,0,1
190,David Geffen,75,8000,5,20,0,1
190,Hui Wing Mau,67,8000,14,1,0,1
190,Walter Kwok,67,8000,14,1,0,1
190,George Soros,87,8000,10,20,0,1
196,"Edward Johnson, III.",87,7000,10,20,0,1
196,Massimiliana Landini Aleotti,75,7000,1,48,1,0
198,David Duffield,77,7000,8,20,0,1
198,George Kaiser,75,7000,2,20,0,1
198,Patrick Soon-Shiong,65,7000,1,20,0,1
198,Zhou Qunfei,48,7000,8,1,1,0
202,Nicky Oppenheimer,72,7000,0,31,0,1
202,Sun Piaoyang,59,7000,1,26,0,1
202,Wu Yajun,54,7000,14,26,1,0
205,Alexei Kuzmichev,55,7000,2,35,0,1
205,Stephen Ross,77,7000,14,20,0,1
207,Vincent Bollore,65,7000,10,36,0,1
207,Pauline MacMillan Keinath,84,7000,16,20,1,0
207,Jay Y. Lee,49,7000,13,53,0,1
207,Anders Holch Povlsen,45,7000,17,57,0,1
211,Eli Broad,84,7000,10,20,0,1
211,Michael Kadoorie,76,7000,2,1,0,1
211,Iskander Makhmudov,54,7000,0,35,0,1
211,Frederik Paulsen,67,7000,1,18,0,1
211,Sun Hongbin,55,7000,14,20,0,1
211,Christy Walton,69,7000,17,20,1,0
217,Shahid Khan,67,7000,7,20,0,1
217,Ananda Krishnan,79,7000,18,8,0,1
217,Carrie Perrodo,67,7000,2,36,1,0
217,Quek Leng Chan,76,7000,13,8,0,1
217,Wang Wenxue,50,7000,14,26,0,1
222,John Doerr,66,7000,8,20,0,1
222,Patrick Drahi,54,7000,18,36,0,1
222,Ricardo Salinas Pliego,62,7000,17,37,0,1
222,Suh Kyung-Bae,55,7000,17,53,0,1
228,Pollyanna Chu,59,7000,10,1,1,0
228,John Fredriksen,73,7000,6,5,0,1
228,Goh Cheng Liang,90,7000,12,69,0,1
228,Sri Prakash Lohia,65,7000,12,63,0,1
228,Lu Zhiqiang,65,7000,14,26,0,1
228,Jorn Rausing,58,7000,16,18,0,1
228,Johann Rupert,67,7000,17,31,0,1
228,Jacques Saade,81,7000,6,36,0,1
228,Wu Shaoxun,62,7000,16,26,0,1
237,Leonid Fedun,61,6000,2,35,0,1
237,Kim Jung-Ju,50,6000,8,53,0,1
237,Sandra Ortega Mera,49,6000,17,38,1,0
237,Jim Pattison,89,6000,13,49,0,1
237,Michael Platt,49,6000,10,3,0,1
242,Chan Laiwa,77,6000,14,26,1,0
242,David Green,76,6000,17,20,0,1
242,Dmitry Rybolovlev,51,6000,12,35,0,1
242,Tsai Eng-Meng,61,6000,16,24,0,1
242,Andreas von Bechtolsheim,62,6000,8,62,0,1
248,Oleg Deripaska,50,6000,0,35,0,1
248,Liu Yongxing,69,6000,11,26,0,1
248,Ludwig Merckle,53,6000,10,62,0,1
251,Brian Acton,46,6000,8,20,0,1
251,John Grayken,61,6000,10,2,0,1
251,Ann Walton Kroenke,69,6000,17,20,1,0
251,Finn Rausing,63,6000,16,18,0,1
251,Kirsten Rausing,65,6000,16,18,1,0
251,Odd Reitan,66,6000,17,67,0,1
251,Nassef Sawiris,57,6000,3,68,0,1
251,Wee Cho Yaw,89,6000,10,69,0,1
251,Aloys Wobben,66,6000,2,62,0,1
261,Leon Black,66,6000,10,20,0,1
261,Ivan Glasenberg,61,6000,0,70,0,1
261,John Paulson,62,6000,10,20,0,1
261,Wei Jianjun,54,6000,7,26,0,1
265,Francis Choi,70,6000,14,1,0,1
265,Erivan Haub,85,6000,17,62,0,1
265,Jason Jiang,45,6000,5,26,0,1
265,Suleiman Kerimov,51,6000,10,35,0,1
265,Pang Kang,62,6000,16,26,0,1
265,David Shaw,66,6000,10,20,0,1
265,Kushal Pal Singh,86,6000,14,44,0,1
265,John A. Sobrato,78,6000,14,20,0,1
274,Acharya Balkrishna,45,6000,16,44,0,1
274,Guenther Fielmann,78,6000,1,62,0,1
274,Daniel Gilbert,56,6000,10,20,0,1
274,Antonia Johnson,74,6000,13,18,1,0
274,Vikram Lal,76,6000,7,44,0,1
274,Akira Mori,81,6000,14,27,0,1
274,Maria-Elisabeth Schaeffler-Thumann,76,6000,7,62,1,0
281,Albert Frere,92,6000,10,21,0,1
281,Richard Kinder,73,6000,2,20,0,1
281,Robert Kraft,76,6000,9,20,0,1
281,Ralph Lauren,78,6000,17,20,0,1
281,Bruno Schroder,85,6000,10,3,0,1
281,Nusli Wadia,74,6000,16,44,0,1
287,Pierre Bellon,88,6000,11,36,0,1
287,Les Wexner,80,6000,17,20,0,1
289,Benu Gopal Bangur,86,6000,12,44,0,1
