Rank,Name,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
183.0,Stanley Kroenke,70.0,"sports, real estate",Sports,Male,North America,United States,MO,Missouri,8.3,
185.0,Melker Schorling,70.0,investments,Finance and Investments,Male,Europe,Sweden,,,8.2,
186.0,Johann Graf,71.0,gambling,Gambling & Casinos,Male,Europe,Austria,,,8.1,
186.0,Guo Guangchang,51.0,conglomerate,Diversified,Male,Asia,China,,,8.1,
186.0,John Malone,77.0,cable television,Media & Entertainment,Male,North America,United States,CO,Colorado,8.1,
186.0,Xavier Niel,50.0,"internet, telecom",Telecom,Male,Europe,France,,,8.1,
190.0,Silvio Berlusconi,81.0,media,Diversified,Male,Europe,Italy,,,8.0,
190.0,Carl Cook,55.0,medical devices,Healthcare,Male,North America,United States,IN,Indiana,8.0,
190.0,David Geffen,75.0,"movies, record labels",Media & Entertainment,Male,North America,United States,CA,California,8.0,"Cofounder, DreamWorks Animation SKG Inc. (Cl A)"
190.0,Hui Wing Mau,67.0,real estate,Real Estate,Male,Asia,Hong Kong,,,8.0,
190.0,Walter Kwok,67.0,real estate,Real Estate,Male,Asia,Hong Kong,,,8.0,
190.0,George Soros,87.0,hedge funds,Finance and Investments,Male,North America,United States,NY,New York,8.0,"Founder, Soros Fund Management LLC"
196.0,"Edward Johnson, III.",87.0,money management,Finance and Investments,Male,North America,United States,MA,Massachusetts,7.9,
196.0,Massimiliana Landini Aleotti,75.0,pharmaceuticals,Healthcare,Female,Europe,Italy,,,7.9,
198.0,David Duffield,77.0,business software,Technology,Male,North America,United States,NV,Nevada,7.8,"Chairman and Cofounder, Workday"
198.0,George Kaiser,75.0,"oil & gas, banking",Energy,Male,North America,United States,OK,Oklahoma,7.8,"Chairman, BOK Financial"
198.0,Patrick Soon-Shiong,65.0,pharmaceuticals,Healthcare,Male,North America,United States,CA,California,7.8,
198.0,Zhou Qunfei,48.0,smartphone screens,Technology,Female,Asia,Hong Kong,,,7.8,"Founder and CEO, Lens Technology"
202.0,Nicky Oppenheimer,72.0,diamonds,Metals & Mining,Male,Africa,South Africa,,,7.7,
202.0,Sun Piaoyang,59.0,pharmaceuticals,Healthcare,Male,Asia,China,,,7.7,
202.0,Wu Yajun,54.0,real estate,Real Estate,Female,Asia,China,,,7.7,"Cofounder-chair, Longfor Properties"
205.0,Alexei Kuzmichev,55.0,"oil, banking, telecom",Energy,Male,Asia,Russia,,,7.6,
205.0,Stephen Ross,77.0,real estate,Real Estate,Male,North America,United States,NY,New York,7.6,
207.0,Vincent Bollore,65.0,investments,Finance and Investments,Male,Europe,France,,,7.4,
207.0,Pauline MacMillan Keinath,84.0,Cargill,Food and Beverage,Female,North America,United States,MO,Missouri,7.4,
207.0,Jay Y. Lee,49.0,Samsung,Diversified,Male,Asia,South Korea,,,7.4,"Vice Chairman, Samsung Electronics"
207.0,Anders Holch Povlsen,45.0,fashion retail,Fashion & Retail,Male,Europe,Denmark,,,7.4,
211.0,Eli Broad,84.0,investments,Finance and Investments,Male,North America,United States,CA,California,7.3,
211.0,Michael Kadoorie,76.0,"hotels, energy",Energy,Male,Asia,Hong Kong,,,7.3,
211.0,Iskander Makhmudov,54.0,"mining, metals, machinery",Metals & Mining,Male,Asia,Russia,,,7.3,
211.0,Frederik Paulsen,67.0,health care,Healthcare,Male,Europe,Sweden,,,7.3,
211.0,Sun Hongbin,55.0,real estate,Real Estate,Male,North America,United States,,,7.3,
211.0,Christy Walton,69.0,Walmart,Fashion & Retail,Female,North America,United States,WY,Wyoming,7.3,"Co-Chair, Children's Scholarship Fund"
217.0,Shahid Khan,67.0,auto parts,Automotive,Male,North America,United States,FL,Florida,7.2,
217.0,Ananda Krishnan,79.0,"telecoms, media, oil-services",Telecom,Male,Asia,Malaysia,,,7.2,
217.0,Carrie Perrodo,67.0,oil,Energy,Female,Europe,France,,,7.2,
217.0,Quek Leng Chan,76.0,"banking, property",Diversified,Male,Asia,Malaysia,,,7.2,
217.0,Wang Wenxue,50.0,real estate,Real Estate,Male,Asia,China,,,7.2,
222.0,John Doerr,66.0,venture capital,Technology,Male,North America,United States,CA,California,7.1,"General Partner, Kleiner Perkins Caufield & Byers"
222.0,Patrick Drahi,54.0,telecom,Telecom,Male,Europe,France,,,7.1,
222.0,Eva Gonda de Rivera,,beverages,Food and Beverage,Female,North America,Mexico,,,7.1,
222.0,Willi & Isolde Liebherr,,Construction,Construction & Engineering,,Europe,Switzerland,,,7.1,
222.0,Ricardo Salinas Pliego,62.0,"retail, media",Fashion & Retail,Male,North America,Mexico,,,7.1,
222.0,Suh Kyung-Bae,55.0,cosmetics,Fashion & Retail,Male,Asia,South Korea,,,7.1,"Chairman, Amorepacific"
228.0,Pollyanna Chu,59.0,financial services,Finance and Investments,Female,Asia,Hong Kong,,,7.0,
228.0,John Fredriksen,73.0,shipping,Logistics,Male,Europe,Cyprus,,,7.0,
228.0,Goh Cheng Liang,90.0,paints,Manufacturing,Male,Asia,Singapore,,,7.0,
228.0,Sri Prakash Lohia,65.0,polyester,Manufacturing,Male,Asia,Indonesia,,,7.0,
228.0,Lu Zhiqiang,65.0,real estate,Real Estate,Male,Asia,China,,,7.0,
228.0,Jorn Rausing,58.0,packaging,Food and Beverage,Male,Europe,Sweden,,,7.0,
228.0,Johann Rupert,67.0,luxury goods,Fashion & Retail,Male,Africa,South Africa,,,7.0,
228.0,Jacques Saade,81.0,shipping,Logistics,Male,Europe,France,,,7.0,
228.0,Wu Shaoxun,62.0,wine,Food and Beverage,Male,Asia,China,,,7.0,
237.0,Leonid Fedun,61.0,oil,Energy,Male,Asia,Russia,,,6.9,
237.0,Kim Jung-Ju,50.0,online games,Technology,Male,Asia,South Korea,,,6.9,Nexon
