Rank,Name,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
514.0,Sumet Jiaravanon,83.0,diversified,Diversified,Male,Asia,Thailand,,,4.2,
514.0,Lars Larsen,69.0,retail,Fashion & Retail,Male,Europe,Denmark,,,4.2,
514.0,Marianne Liebmann,64.0,Cargill,Food and Beverage,Female,North America,United States,MT,Montana,4.2,
514.0,Bobby Murphy,29.0,Snapchat,Technology,Male,North America,United States,CA,California,4.2,"Cofounder, Snap"
514.0,Igor Olenicoff,75.0,real estate,Real Estate,Male,North America,United States,FL,Florida,4.2,
514.0,"Walter Scott, Jr.",86.0,"utilities, telecom",Energy,Male,North America,United States,NE,Nebraska,4.2,"Chairman, Level 3 Communications"
514.0,"Clemmie Spangler, Jr.",85.0,investments,Finance and Investments,Male,North America,United States,NC,North Carolina,4.2,
514.0,Wang Yusuo,53.0,natural gas distribution,Energy,Male,Asia,China,,,4.2,
527.0,Carl Bennet,66.0,investments,Finance and Investments,Male,Europe,Sweden,,,4.1,
527.0,Arthur Blank,75.0,Home Depot,Sports,Male,North America,United States,GA,Georgia,4.1,"Chairman, Atlanta Falcons"
527.0,Jaran Chiaravanont,87.0,diversified,Diversified,Male,Asia,Thailand,,,4.1,
527.0,Jack & Laura Dangermond,72.0,mapping software,Technology,,North America,United States,CA,California,4.1,
527.0,Fan Hongwei,51.0,petrochemicals,Energy,Female,Asia,China,,,4.1,
527.0,John Gandel,83.0,shopping malls,Real Estate,Male,Oceania,Australia,,,4.1,
527.0,James Jannard,68.0,sunglasses,Fashion & Retail,Male,North America,United States,WA,Washington,4.1,
527.0,Montri Jiaravanont,86.0,diversified,Diversified,Male,Asia,Thailand,,,4.1,
527.0,Samuel Tak Lee,78.0,real estate,Real Estate,Male,Asia,Hong Kong,,,4.1,
527.0,Pawan Munjal,64.0,motorcycles,Automotive,Male,Asia,India,,,4.1,
527.0,Axel Oberwelland,51.0,candy,Food and Beverage,Male,Europe,Germany,,,4.1,
527.0,James Packer,50.0,casinos,Gambling & Casinos,Male,Oceania,Australia,CO,Colorado,4.1,
527.0,Isaac Perlmutter,75.0,Marvel comics,Media & Entertainment,Male,North America,United States,FL,Florida,4.1,"Chief Executive Officer, Marvel Entertainment"
527.0,"H. Ross Perot, Sr.",87.0,"computer services, real estate",Diversified,Male,North America,United States,TX,Texas,4.1,
527.0,Michael Pieper,72.0,kitchen appliances,Manufacturing,Male,Europe,Switzerland,,,4.1,"CEO of Artemis Group, Artemis Real Estate Partners"
527.0,Thomas Pritzker,67.0,"hotels, investments",Finance and Investments,Male,North America,United States,IL,Illinois,4.1,"Executive Chairman, Hyatt Hotels"
527.0,"Julian Robertson, Jr.",85.0,hedge funds,Finance and Investments,Male,North America,United States,NY,New York,4.1,
527.0,Renzo Rosso,62.0,fashion,Fashion & Retail,Male,Europe,Italy,,,4.1,
527.0,Hussain Sajwani,65.0,real estate,Real Estate,Male,Asia,United Arab Emirates,,,4.1,
527.0,Yasumitsu Shigeta,53.0,mobile phone retailer,Telecom,Male,Asia,Japan,,,4.1,
527.0,Evan Spiegel,27.0,Snapchat,Technology,Male,North America,United States,CA,California,4.1,"Cofounder and CEO, Snap"
527.0,Wang Xing,45.0,e-commerce,Technology,Male,Asia,China,,,4.1,
527.0,Kelcy Warren,62.0,pipelines,Energy,Male,North America,United States,TX,Texas,4.1,
550.0,Ben Ashkenazy,48.0,real estate,Real Estate,Male,North America,United States,NY,New York,4.0,
550.0,Ursula Bechtolsheimer-Kipp,,retail,Real Estate,Female,Europe,Germany,,,4.0,
550.0,Otto Philipp Braun,40.0,medical technology,Healthcare,Male,Europe,Germany,,,4.0,
550.0,Che Jianxing,51.0,furniture retailing,Fashion & Retail,Male,Asia,China,,,4.0,
550.0,Dagmar Dolby,76.0,Dolby Laboratories,Technology,Female,North America,United States,CA,California,4.0,
550.0,Traudl Engelhorn,91.0,"pharmaceuticals, medical equipment",Healthcare,Female,Europe,Germany,,,4.0,
550.0,Dan Friedkin,53.0,Toyota dealerships,Automotive,Male,North America,United States,TX,Texas,4.0,"owner and ceo, Gulf States Toyota"
550.0,Sergei Galitsky,50.0,retail,Fashion & Retail,Male,Asia,Russia,,,4.0,
550.0,Huang Rulun,66.0,real estate,Real Estate,Male,Asia,China,,,4.0,
550.0,Erman Ilicak,50.0,construction,Construction & Engineering,Male,Europe,Turkey,,,4.0,
550.0,Ronald Lauder,74.0,Estee Lauder,Fashion & Retail,Male,North America,United States,NY,New York,4.0,
550.0,Michel Leclercq,78.0,sporting goods,Fashion & Retail,Male,Europe,France,,,4.0,
550.0,Michael Moritz,63.0,venture capital,Technology,Male,North America,United States,CA,California,4.0,"Chairman, Sequoia Capital"
550.0,Issad Rebrab,74.0,food,Food and Beverage,Male,,Algeria,,,4.0,
550.0,Naguib Sawiris,63.0,telecom,Telecom,Male,Africa,Egypt,,,4.0,
550.0,Richard Schulze,77.0,Best Buy,Fashion & Retail,Male,North America,United States,FL,Florida,4.0,"Chairman, Best Buy"
550.0,B.R. Shetty,76.0,healthcare,Healthcare,Male,Asia,India,,,4.0,
550.0,Jeff Sutton,58.0,real estate,Real Estate,Male,North America,United States,NY,New York,4.0,
550.0,Tony Tan Caktiong,65.0,food,Food and Beverage,Male,Asia,Philippines,,,4.0,
550.0,Yu Huijiao,51.0,package delivery,Logistics,Male,Asia,China,,,4.0,"Founder and Chairman, Shanghai YTO Express (Logistics)"
550.0,Zhang Xuexin,70.0,aluminum,Metals & Mining,Male,Asia,China,,,4.0,
550.0,Zhang Yiming,34.0,software,Technology,Male,Asia,China,,,4.0,
572.0,Suhail Bahwan,79.0,diversified,Diversified,Male,Asia,Oman,,,3.9,
572.0,Rick Caruso,59.0,real estate,Real Estate,Male,North America,United States,CA,California,3.9,
572.0,Tom Gores,53.0,private equity,Finance and Investments,Male,North America,United States,CA,California,3.9,
572.0,Peter Hargreaves,71.0,financial services,Finance and Investments,Male,Europe,United Kingdom,,,3.9,
572.0,Daniela Herz,64.0,coffee,Finance and Investments,Female,Europe,Germany,,,3.9,
572.0,Guenter Herz,77.0,coffee,Finance and Investments,Male,Europe,Germany,,,3.9,
572.0,Masatoshi Ito,93.0,retail,Fashion & Retail,Male,Asia,Japan,,,3.9,
572.0,Barry Lam,68.0,electronics,Technology,Male,Asia,Taiwan,,,3.9,
572.0,Sudhir & Samir Mehta,,diversified,Diversified,Male,Asia,India,,,3.9,
572.0,Ravi Pillai,64.0,construction,Construction & Engineering,Male,Asia,India,,,3.9,
572.0,Stewart and Lynda Resnick,,"agriculture, water",Food and Beverage,,North America,United States,CA,California,3.9,
572.0,Jerry Speyer,77.0,real estate,Real Estate,Male,North America,United States,NY,New York,3.9,
572.0,Harry Stine,76.0,agriculture,Food and Beverage,Male,North America,United States,IA,Iowa,3.9,
572.0,George Ty,85.0,banking,Finance and Investments,Male,Asia,Philippines,,,3.9,
572.0,Steven Udvar-Hazy,72.0,aircraft leasing,Service,Male,North America,United States,CA,California,3.9,"CEO and Chairman, Air Lease Corp."
572.0,Christoph Zeller,60.0,dental implants,Healthcare,Male,,Liechtenstein,,,3.9,
588.0,Nathan Blecharczyk,34.0,Airbnb,Technology,Male,North America,United States,CA,California,3.8,
588.0,Hubert Burda,78.0,publishing,Media & Entertainment,Male,Europe,Germany,,,3.8,
588.0,Chen Dongsheng,60.0,insurance,Finance and Investments,Male,Asia,China,,,3.8,
588.0,Brian Chesky,36.0,Airbnb,Technology,Male,North America,United States,CA,California,3.8,"CEO and Cofounder, Airbnb, Inc."
588.0,Gustaf Douglas,80.0,investments,Diversified,Male,Europe,Sweden,,,3.8,
588.0,Joe Gebbia,36.0,Airbnb,Technology,Male,North America,United States,CA,California,3.8,"Chief Product Officer & Cofounder, Airbnb, Inc."
588.0,Peter Gilgan,67.0,homebuilding,Construction & Engineering,Male,North America,Canada,,,3.8,"Founder, CEO and Chairman, Mattamy Group Corp."
588.0,Jeff Greene,63.0,"real estate, investments",Real Estate,Male,North America,United States,FL,Florida,3.8,
588.0,Jiang Weiping,63.0,chemicals,Manufacturing,Male,Asia,China,,,3.8,
588.0,Dominika & Sebastian Kulczyk,,diversified,Finance and Investments,,Europe,Poland,,,3.8,
588.0,Li Wa,52.0,real estate,Real Estate,Male,Asia,Hong Kong,,,3.8,
588.0,Robert McNair,81.0,"energy, sports",Sports,Male,North America,United States,TX,Texas,3.8,
588.0,Masahiro Miki,62.0,shoes,Fashion & Retail,Male,Asia,Japan,,,3.8,
588.0,Katharina Otto-Bernstein,,real estate,Real Estate,Female,Europe,Germany,NY,New York,3.8,
588.0,Ira Rennert,83.0,investments,Finance and Investments,Male,North America,United States,NY,New York,3.8,
588.0,Henry Samueli,63.0,semiconductors,Technology,Male,North America,United States,CA,California,3.8,"Cofounder, Chief Technology Officer and Chairman, Broadcom"
588.0,Zeng Fangqin,52.0,smartphone components,Technology,Female,Asia,China,,,3.8,
588.0,Zhang Jin,46.0,diversified,Diversified,Male,Asia,China,,,3.8,
606.0,Nick Caporella,82.0,beverages,Food and Beverage,Male,North America,United States,FL,Florida,3.7,
606.0,Mark Cuban,59.0,online media,Media & Entertainment,Male,North America,United States,TX,Texas,3.7,"Owner, Dallas Mavericks"
606.0,Ken Fisher,67.0,money management,Finance and Investments,Male,North America,United States,WA,Washington,3.7,
606.0,Jaime Gilinski Bacal,60.0,banking,Finance and Investments,Male,South America,Colombia,,,3.7,
606.0,Andreas Halvorsen,56.0,hedge funds,Finance and Investments,Male,Europe,Norway,CT,Connecticut,3.7,"Founding Partner & Chief Executive Officer, Viking Global Investors"
606.0,H. Fisk Johnson,59.0,cleaning products,Manufacturing,Male,North America,United States,WI,Wisconsin,3.7,
606.0,Imogene Powers Johnson,87.0,cleaning products,Manufacturing,Female,North America,United States,WI,Wisconsin,3.7,
606.0,S. Curtis Johnson,62.0,cleaning products,Manufacturing,Male,North America,United States,WI,Wisconsin,3.7,
606.0,Helen Johnson-Leipold,61.0,cleaning products,Manufacturing,Female,North America,United States,WI,Wisconsin,3.7,
606.0,Winifred Johnson-Marquart,58.0,cleaning products,Manufacturing,Female,North America,United States,VA,Virginia,3.7,
606.0,Viatcheslav Kantor,64.0,"fertilizer, real estate",Manufacturing,Male,Asia,Russia,,,3.7,
606.0,Samvel Karapetyan,52.0,real estate,Construction & Engineering,Male,Asia,Russia,,,3.7,
606.0,Marc Ladreit de Lacharriere,77.0,finance,Finance and Investments,Male,Europe,France,,,3.7,
606.0,Angela Leong,56.0,casinos,Gambling & Casinos,Female,Asia,Hong Kong,,,3.7,
606.0,Li Gaiteng,45.0,hair dryers,Manufacturing,Male,Asia,China,,,3.7,
606.0,Mangal Prabhat Lodha,62.0,real estate,Real Estate,Male,Asia,India,,,3.7,
606.0,Michael Milken,71.0,investments,Finance and Investments,Male,North America,United States,CA,California,3.7,
606.0,Yuri Milner,56.0,tech investments,Finance and Investments,Male,Asia,Russia,CA,California,3.7,"Partner, Digital Sky Technologies"
606.0,Andreas Struengmann,68.0,pharmaceuticals,Healthcare,Male,Europe,Germany,,,3.7,
606.0,Thomas Struengmann,68.0,pharmaceuticals,Healthcare,Male,Europe,Germany,,,3.7,
606.0,Tse Ping,66.0,pharmaceuticals,Healthcare,Male,Asia,China,,,3.7,
606.0,Yitzhak Tshuva,69.0,real estate,Real Estate,Male,Asia,Israel,,,3.7,
606.0,Samuel Yin,67.0,diversified,Diversified,Male,Asia,Taiwan,,,3.7,
629.0,Michael Ashley,53.0,sports retailing,Fashion & Retail,Male,Europe,United Kingdom,,,3.6,
629.0,Cao Longxiang,60.0,pharmaceuticals,Healthcare,Male,Asia,China,,,3.6,
629.0,Jeffery Hildebrand,59.0,oil,Energy,Male,North America,United States,TX,Texas,3.6,
629.0,Jiang Rensheng,64.0,vaccine production,Healthcare,Male,Asia,China,,,3.6,
629.0,"Edward Johnson, IV.",53.0,money management,Finance and Investments,Male,North America,United States,MA,Massachusetts,3.6,
629.0,Elizabeth Johnson,54.0,money management,Finance and Investments,Female,North America,United States,MA,Massachusetts,3.6,
629.0,Peter Kellogg,75.0,investments,Finance and Investments,Male,North America,United States,NJ,New Jersey,3.6,
629.0,Lim Sung-Ki,78.0,pharmaceuticals,Healthcare,Male,Asia,South Korea,,,3.6,Hanmi Holdings
629.0,Friedhelm Loh,71.0,manufacturing,Manufacturing,Male,Europe,Germany,,,3.6,
629.0,Kiran Mazumdar-Shaw,64.0,biotech,Healthcare,Female,Asia,India,,,3.6,"Founder-chair, Biocon Ltd."
629.0,Idan Ofer,62.0,"drilling, shipping",Diversified,Male,Asia,Israel,,,3.6,
629.0,Karsanbhai Patel,74.0,consumer goods,Diversified,Male,Asia,India,,,3.6,
629.0,Qin Yinglin,52.0,pig breeding,Food and Beverage,Male,Asia,China,,,3.6,
629.0,Qiu Guanghe,66.0,fashion retail,Fashion & Retail,Male,Asia,China,,,3.6,
629.0,Sarath Ratanavadi,52.0,energy,Energy,Male,Asia,Thailand,,,3.6,
629.0,Rodger Riney,72.0,discount brokerage,Finance and Investments,Male,North America,United States,MO,Missouri,3.6,"President and CEO, Scottrade"
629.0,Steven Spielberg,71.0,Movies,Media & Entertainment,Male,North America,United States,CA,California,3.6,
629.0,Gabriele Volkmann,,auto parts,Automotive,Female,Europe,Germany,,,3.6,
629.0,Arne Wilhelmsen,87.0,cruise ships,Logistics,Male,Europe,Norway,,,3.6,
629.0,Xu Jingren,73.0,pharmaceuticals,Healthcare,Male,Asia,China,,,3.6,
629.0,Zhang Li,65.0,real estate,Real Estate,Male,Asia,China,,,3.6,
629.0,Zhang Xin,52.0,real estate,Real Estate,Female,Asia,China,,,3.6,"Cofounder, CEO, Soho China"
629.0,Anita Zucker,66.0,chemicals,Manufacturing,Female,North America,United States,SC,South Carolina,3.6,
652.0,Carlo Benetton,74.0,"fashion retail, investments",Fashion & Retail,Male,Europe,Italy,,,3.5,
652.0,Gilberto Benetton,76.0,"fashion retail, investments",Fashion & Retail,Male,Europe,Italy,,,3.5,
652.0,Giuliana Benetton,80.0,"fashion retail, investments",Fashion & Retail,Female,Europe,Italy,,,3.5,
652.0,Luciano Benetton,82.0,"fashion retail, investments",Fashion & Retail,Male,Europe,Italy,,,3.5,
652.0,Chen Bang,52.0,hospitals,Healthcare,Male,Asia,China,,,3.5,
652.0,Kuldip Singh & Gurbachan Singh Dhingra,,paints,Manufacturing,Male,Asia,India,,,3.5,
652.0,Abilio dos Santos Diniz,81.0,retail,Fashion & Retail,Male,South America,Brazil,,,3.5,
652.0,Bernard Ecclestone,87.0,Formula One,Sports,Male,Europe,United Kingdom,,,3.5,
652.0,Judy Faulkner,74.0,health IT,Technology,Female,North America,United States,WI,Wisconsin,3.5,"Founder-CEO, Epic Systems"
652.0,Gao Tianguo,66.0,"real estate, finance",Real Estate,Male,Asia,China,,,3.5,
652.0,Joshua Harris,53.0,private equity,Finance and Investments,Male,North America,United States,NY,New York,3.5,
652.0,Arthur Irving,88.0,oil,Energy,Male,North America,Canada,,,3.5,
652.0,Baba Kalyani,69.0,engineering,Construction & Engineering,Male,Asia,India,,,3.5,
652.0,Dmitry Kamenshchik,49.0,airport,Service,Male,Asia,Russia,,,3.5,
652.0,Douglas Leone,60.0,venture capital,Finance and Investments,Male,North America,United States,CA,California,3.5,"Partner, Sequoia Capital"
652.0,Edwin Leong,66.0,real estate,Real Estate,Male,Asia,Hong Kong,,,3.5,
652.0,Arnon Milchan,73.0,movie making,Media & Entertainment,Male,Asia,Israel,,,3.5,
652.0,Maren Otto,,"retail, real estate",Diversified,Female,Europe,Germany,,,3.5,
652.0,Anthony Pritzker,57.0,"hotels, investments",Service,Male,North America,United States,CA,California,3.5,
652.0,Jay Robert (J.B.) Pritzker,53.0,"hotels, investments",Finance and Investments,Male,North America,United States,IL,Illinois,3.5,
652.0,Mitchell Rales,61.0,"manufacturing, investments",Manufacturing,Male,North America,United States,MD,Maryland,3.5,
652.0,Kjell Inge Rokke,59.0,"shipping, seafood",Logistics,Male,Europe,Norway,,,3.5,
652.0,"Bernard Saul, II.",85.0,"banking, real estate",Finance and Investments,Male,North America,United States,MD,Maryland,3.5,"Chairman and CEO, Saul Centers Inc."
652.0,Donald Sterling,83.0,real estate,Real Estate,Male,North America,United States,CA,California,3.5,
652.0,Tahir,65.0,diversified,Diversified,Male,Asia,Indonesia,,,3.5,
652.0,Chairul Tanjung,55.0,diversified,Diversified,Male,Asia,Indonesia,,,3.5,
652.0,Clemens Toennies,61.0,meat processing,Food and Beverage,Male,Europe,Germany,,,3.5,
679.0,Somphote Ahunai,50.0,energy,Energy,Male,Asia,Thailand,,,3.4,
679.0,Igor Altushkin,47.0,metals,Metals & Mining,Male,Asia,Russia,,,3.4,
679.0,Riley Bechtel,65.0,"engineering, construction",Construction & Engineering,Male,North America,United States,CA,California,3.4,"former Chairman and CEO, Bechtel"
679.0,"Stephen Bechtel, Jr.",92.0,"engineering, construction",Construction & Engineering,Male,North America,United States,CA,California,3.4,"Former Chairman, Bechtel"
679.0,Mike Cannon-Brookes,38.0,software,Technology,Male,Oceania,Australia,,,3.4,
679.0,Rafael Del Pino y Calvo-Sotelo,59.0,construction,Construction & Engineering,Male,Europe,Spain,,,3.4,
679.0,Antonio Del Valle Ruiz,79.0,chemicals,Manufacturing,Male,North America,Mexico,,,3.4,
679.0,Scott Farquhar,38.0,software,Technology,Male,Oceania,Australia,,,3.4,
679.0,Lindsay Fox,80.0,"logistics, real estate",Logistics,Male,Oceania,Australia,,,3.4,
679.0,Jimmy Haslam,64.0,"gas stations, retail",Fashion & Retail,Male,North America,United States,TN,Tennessee,3.4,"CEO, Pilot Flying J"
679.0,Heidi Horten,77.0,retail,Fashion & Retail,Female,Europe,Austria,,,3.4,
679.0,Min Kao,69.0,navigation equipment,Technology,Male,North America,United States,KS,Kansas,3.4,"Chairman and CEO, Garmin Corporation"
679.0,Melissa Ma,48.0,internet search,Technology,Female,Asia,China,,,3.4,
679.0,Rudolf Maag,72.0,medical devices,Healthcare,Male,Europe,Switzerland,,,3.4,
679.0,Alexander Ponomarenko,53.0,"real estate, airport",Logistics,Male,Asia,Russia,,,3.4,
679.0,Carlos Rodriguez-Pastor,58.0,finance,Finance and Investments,Male,South America,Peru,,,3.4,
679.0,Shashi & Ravi Ruia,,diversified,Diversified,Male,Asia,India,,,3.4,
679.0,Teddy Sagi,46.0,gambling software,Gambling & Casinos,Male,Asia,Israel,,,3.4,
679.0,Shaul Shani,63.0,telecom,Telecom,Male,Asia,Israel,,,3.4,
679.0,Alexander Skorobogatko,50.0,"real estate, airport",Logistics,Male,Asia,Russia,,,3.4,
679.0,Sun Guangxin,55.0,diversified,Diversified,Male,Asia,China,,,3.4,
679.0,Rita Tong Liu,69.0,real estate,Real Estate,Female,Asia,Hong Kong,,,3.4,
679.0,Juan-Miguel Villar Mir,86.0,construction,Construction & Engineering,Male,Europe,Spain,,,3.4,
679.0,Steve Wynn,76.0,"casinos, hotels",Gambling & Casinos,Male,North America,United States,NV,Nevada,3.4,"Cofounder, Wynn Resorts"
703.0,Anil Agarwal,64.0,"mining, metals",Metals & Mining,Male,Asia,India,,,3.3,
703.0,Abdulla Al Futtaim,,"auto dealers, investments",Automotive,Male,Asia,United Arab Emirates,,,3.3,
703.0,John Arnold,44.0,hedge funds,Finance and Investments,Male,North America,United States,TX,Texas,3.3,"Founder, Centaurus Advisors"
703.0,Sid Bass,75.0,"oil, investments",Energy,Male,North America,United States,TX,Texas,3.3,
703.0,Alain Bouchard,69.0,retail,Fashion & Retail,Male,North America,Canada,,,3.3,"Chairman and CEO, Alimentation Couche Tard Inc. Cl A"
703.0,John Brown,83.0,medical equipment,Healthcare,Male,North America,United States,MI,Michigan,3.3,
703.0,Vanich Chaiyawan,86.0,"insurance, beverages",Finance and Investments,Male,Asia,Thailand,,,3.3,
703.0,Chen Lip Keong,70.0,"casinos, property, energy",Gambling & Casinos,Male,Asia,Malaysia,,,3.3,
703.0,Charles Cohen,66.0,real estate,Real Estate,Male,North America,United States,NY,New York,3.3,
703.0,Ashwin Dani,75.0,paints,Manufacturing,Male,Asia,India,,,3.3,
703.0,Rakesh Gangwal,64.0,airline,Service,Male,North America,United States,FL,Florida,3.3,
703.0,Reid Hoffman,50.0,LinkedIn,Technology,Male,North America,United States,CA,California,3.3,"Chairman and Cofounder, LinkedIn"
703.0,"Amos Hostetter, Jr.",81.0,cable television,Media & Entertainment,Male,North America,United States,MA,Massachusetts,3.3,"Chair, Pilot House Associates"
703.0,Zarakh Iliev,51.0,real estate,Real Estate,Male,Asia,Russia,,,3.3,
703.0,Ji Qi,51.0,"hotels, motels",Real Estate,Male,Asia,China,,,3.3,
703.0,Kenneth Langone,82.0,investments,Finance and Investments,Male,North America,United States,NY,New York,3.3,
703.0,Li Sze Lim,60.0,real estate,Real Estate,Male,Asia,Hong Kong,,,3.3,
703.0,George Lindemann,81.0,investments,Finance and Investments,Male,North America,United States,FL,Florida,3.3,
703.0,Liu Zhongtian,54.0,aluminum products,Manufacturing,Male,Asia,China,,,3.3,
703.0,Luo Liguo,62.0,chemicals,Manufacturing,Male,Asia,China,,,3.3,
703.0,Mary Alice Dorrance Malone,68.0,Campbell Soup,Food and Beverage,Female,North America,United States,PA,Pennsylvania,3.3,
703.0,"Henry Nicholas, III.",58.0,semiconductors,Technology,Male,North America,United States,CA,California,3.3,"Cofounder, Broadcom"
703.0,God Nisanov,45.0,real estate,Real Estate,Male,Asia,Russia,,,3.3,
703.0,Pat Stryker,61.0,medical equipment,Healthcare,Female,North America,United States,CO,Colorado,3.3,
703.0,Alexander Svetakov,50.0,real estate,Finance and Investments,Male,Asia,Russia,,,3.3,
703.0,Hans Peter Wild,76.0,flavorings,Food and Beverage,Male,Europe,Switzerland,,,3.3,
729.0,Yvonne Bauer,40.0,media,Media & Entertainment,Female,Europe,Germany,,,3.2,
729.0,Patrizio Bertelli,72.0,luxury goods,Fashion & Retail,Male,Europe,Italy,,,3.2,
729.0,Neil Bluhm,80.0,real estate,Real Estate,Male,North America,United States,IL,Illinois,3.2,
729.0,Andrew & Peggy Cherng,,restaurants,Food and Beverage,,North America,United States,NV,Nevada,3.2,
729.0,Scott Cook,65.0,software,Technology,Male,North America,United States,CA,California,3.2,
729.0,Leon G. Cooperman,74.0,hedge funds,Finance and Investments,Male,North America,United States,NJ,New Jersey,3.2,"Founder, Omega Advisors, Inc."
729.0,John Paul DeJoria,73.0,"hair products, tequila",Fashion & Retail,Male,North America,United States,TX,Texas,3.2,
729.0,Martin Ebner,72.0,investments,Finance and Investments,Male,Europe,Switzerland,,,3.2,
729.0,Walter Faria,62.0,beer,Food and Beverage,Male,South America,Brazil,,,3.2,
729.0,Sameer Gehlaut,44.0,finance,Finance and Investments,Male,Asia,India,,,3.2,
729.0,Tom Golisano,76.0,payroll services,Service,Male,North America,United States,FL,Florida,3.2,
729.0,Otto Happel,70.0,engineering,Construction & Engineering,Male,Europe,Germany,,,3.2,
729.0,Jiang Bin,51.0,acoustic components,Technology,Male,Asia,China,,,3.2,
729.0,Karel Komarek,48.0,lotteries,Gambling & Casinos,Male,Europe,Czech Republic,,,3.2,
729.0,Kurt Krieger,69.0,furniture retailing,Fashion & Retail,Male,Europe,Germany,,,3.2,
729.0,Timur Kulibaev,51.0,banking,Finance and Investments,Male,Asia,Kazakhstan,,,3.2,
729.0,Dinara Kulibaeva,50.0,banking,Finance and Investments,Female,Asia,Kazakhstan,,,3.2,
729.0,Spiro Latsis,71.0,"banking, shipping",Diversified,Male,Europe,Greece,,,3.2,
729.0,Daniel Loeb,56.0,hedge funds,Finance and Investments,Male,North America,United States,NY,New York,3.2,"Founder, Third Point"
729.0,Luo Jye,92.0,tires,Automotive,Male,Asia,Taiwan,,,3.2,
729.0,Ronald McAulay,82.0,energy,Energy,Male,Asia,Hong Kong,,,3.2,
729.0,Alain Merieux,80.0,pharmaceuticals,Healthcare,Male,Europe,France,,,3.2,
729.0,Hans Georg Naeder,56.0,prosthetics,Manufacturing,Male,Europe,Germany,,,3.2,
729.0,Nie Tengyun,42.0,logistics,Service,Male,Asia,China,,,3.2,
729.0,Daniel Och,57.0,hedge funds,Finance and Investments,Male,North America,United States,NY,New York,3.2,"Chairman and CEO, Och-Ziff Capital Management Group"
729.0,Miuccia Prada,68.0,luxury goods,Fashion & Retail,Female,Europe,Italy,,,3.2,"CEO, Fashion Designer, Prada"
729.0,Marc Rowan,55.0,private equity,Finance and Investments,Male,North America,United States,NY,New York,3.2,
729.0,Haim Saban,73.0,"TV network, investments",Media & Entertainment,Male,North America,United States,CA,California,3.2,
729.0,Alvaro Saieh Bendeck,68.0,banking,Finance and Investments,Male,South America,Chile,,,3.2,
729.0,Michael & Reiner Schmidt-Ruthenbeck,75.0,retail,Fashion & Retail,Male,Europe,Germany,,,3.2,
729.0,Lynn Schusterman,79.0,"oil & gas, investments",Energy,Female,North America,United States,OK,Oklahoma,3.2,
729.0,Mark Shoen,67.0,U-Haul,Automotive,Male,North America,United States,AZ,Arizona,3.2,
729.0,Michal Solowow,55.0,investments,Finance and Investments,Male,Europe,Poland,,,3.2,
729.0,Daniel Tsai,61.0,finance,Finance and Investments,Male,Asia,Taiwan,,,3.2,
729.0,Richard Tsai,60.0,finance,Finance and Investments,Male,Asia,Taiwan,,,3.2,
729.0,Frank Wang,37.0,drones,Technology,Male,Asia,China,,,3.2,"Founder and CEO, DJI Technology Co."
729.0,Meg Whitman,61.0,eBay,Technology,Female,North America,United States,CA,California,3.2,"CEO, Hewlett-Packard"
766.0,John Catsimatidis,69.0,"oil, real estate",Energy,Male,North America,United States,NY,New York,3.1,
766.0,Do Won & Jin Sook Chang,62.0,fashion retail,Fashion & Retail,,North America,United States,CA,California,3.1,
766.0,Cheng Cheung Ling,54.0,pharmaceuticals,Healthcare,Female,Asia,China,,,3.1,
766.0,Barry Diller,76.0,online media,Media & Entertainment,Male,North America,United States,NY,New York,3.1,
766.0,Jack Dorsey,41.0,Twitter,Technology,Male,North America,United States,CA,California,3.1,"Cofounder, Twitter"
766.0,Yakir Gabay,51.0,real estate,Real Estate,Male,Europe,Cyprus,,,3.1,
766.0,Allan Goldman,75.0,real estate,Real Estate,Male,North America,United States,NY,New York,3.1,
766.0,Jane Goldman,62.0,real estate,Real Estate,Female,North America,United States,NY,New York,3.1,
766.0,Amy Goldman Fowler,63.0,real estate,Real Estate,Female,North America,United States,NY,New York,3.1,
766.0,Daryl Katz,56.0,pharmacies,Diversified,Male,North America,Canada,,,3.1,"Chairman, Rexall Health"
766.0,Diane Kemper,72.0,real estate,Real Estate,Female,North America,United States,NY,New York,3.1,
766.0,Vladimir Kim,57.0,mining,Metals & Mining,Male,Asia,Kazakhstan,,,3.1,
766.0,Lai Meisong,47.0,package delivery,Logistics,Male,Asia,China,,,3.1,
766.0,Manuel Lao Hernandez,73.0,gambling,Gambling & Casinos,Male,Europe,Spain,,,3.1,
766.0,James Leprino,80.0,cheese,Food and Beverage,Male,North America,United States,CO,Colorado,3.1,"Chairman, Leprino Foods"
766.0,Liang Xinjun,50.0,conglomerate,Diversified,Male,Asia,China,,,3.1,
766.0,Tom Morris,63.0,retail,Fashion & Retail,Male,Europe,United Kingdom,,,3.1,
766.0,Thi Phuong Thao Nguyen,47.0,airlines,Diversified,Female,Asia,Vietnam,,,3.1,"Cofounder & chairman, Sovico Holdings"
766.0,Rajan Raheja,63.0,diversified,Diversified,Male,Asia,India,,,3.1,
766.0,Ren Jianhua,61.0,kitchen appliances,Manufacturing,Male,Asia,China,,,3.1,
766.0,Richard Sands,67.0,Food & Beverage,Food and Beverage,Male,North America,United States,NY,New York,3.1,
766.0,Kerry Stokes,77.0,"construction equipment, media",Diversified,Male,Oceania,Australia,,,3.1,
