rank,personName,age,finalWorth,category,country,gender
1,Jeff Bezos,54,112000,Technology,United States,M
2,Bill Gates,62,90000,Technology,United States,M
3,Warren Buffett,87,84000,Finance & Investments,United States,M
4,Bernard Arnault,69,72000,Fashion & Retail,France,M
5,Mark Zuckerberg,33,71000,Technology,United States,M
6,Amancio Ortega,81,70000,Fashion & Retail,Spain,M
7,Carlos Slim Helu,78,67000,Telecom,Mexico,M
8,Charles Koch,82,60000,Diversified,United States,M
8,David Koch,77,60000,Diversified,United States,M
10,Larry Ellison,73,58000,Technology,United States,M
11,Michael Bloomberg,76,50000,Media & Entertainment,United States,M
12,Larry Page,44,48000,Technology,United States,M
13,Sergey Brin,44,47000,Technology,United States,M
14,Jim Walton,69,46000,Fashion & Retail,United States,M
15,S. Robson Walton,73,46000,Fashion & Retail,United States,M
16,Alice Walton,68,46000,Fashion & Retail,United States,F
17,Ma Huateng,46,45000,Technology,China,M
18,Francoise Bettencourt Meyers,64,42000,Fashion & Retail,France,F
19,Mukesh Ambani,60,40000,Energy,India,M
20,Jack Ma,53,39000,Technology,China,M
21,Sheldon Adelson,84,38000,Gambling & Casinos,United States,M
22,Steve Ballmer,61,38000,Technology,United States,M
23,Li Ka-shing,89,34000,Diversified,Hong Kong,M
24,Hui Ka Yan,59,30000,Real Estate,China,M
24,Lee Shau Kee,90,30000,Real Estate,Hong Kong,M
26,Wang Jianlin,63,30000,Real Estate,China,M
28,Phil Knight,80,29000,Fashion & Retail,United States,M
29,Jorge Paulo Lemann,78,27000,Food & Beverage,Brazil,M
30,Francois Pinault,81,27000,Fashion & Retail,France,M
31,Georg Schaeffler,53,25000,Automotive,Germany,M
32,Susanne Klatten,55,25000,Automotive,Germany,F
32,David Thomson,60,25000,Media & Entertainment,Canada,M
34,Jacqueline Mars,78,23000,Food & Beverage,United States,F
34,John Mars,82,23000,Food & Beverage,United States,M
36,Joseph Safra,79,23000,Finance & Investments,Brazil,M
37,Giovanni Ferrero,53,23000,Food & Beverage,Italy,M
37,Dietrich Mateschitz,73,23000,Food & Beverage,Austria,M
39,Michael Dell,53,22000,Technology,United States,M
39,Masayoshi Son,60,22000,Telecom,Japan,M
41,Serge Dassault,92,22000,Diversified,France,M
42,Stefan Quandt,51,22000,Automotive,Germany,M
43,Yang Huiyan,36,21000,Real Estate,China,F
44,Paul Allen,65,21000,Technology,United States,M
45,Leonardo Del Vecchio,82,21000,Fashion & Retail,Italy,M
46,Dieter Schwarz,78,20000,Fashion & Retail,Germany,M
47,Thomas Peterffy,73,20000,Finance & Investments,United States,M
48,"Theo Albrecht, Jr.",67,20000,Fashion & Retail,Germany,M
48,Len Blavatnik,60,20000,Diversified,United States,M
50,He Xiangjian,75,20000,Manufacturing,China,M
50,Lui Che Woo,88,20000,Gambling & Casinos,Hong Kong,M
52,James Simons,79,20000,Finance & Investments,United States,M
52,Henry Sy,93,20000,Diversified,Philippines,M
54,Elon Musk,46,19000,Automotive,United States,M
55,Tadashi Yanai,69,19000,Fashion & Retail,Japan,M
57,Vladimir Lisin,61,19000,Metals & Mining,Russia,M
58,Laurene Powell Jobs,54,18000,Philanthropy/NGO,United States,F
58,Azim Premji,72,18000,Technology,India,M
60,Alexey Mordashov,52,18000,Metals & Mining,Russia,M
61,Lee Kun-Hee,76,18000,Diversified,South Korea,M
62,Lakshmi Mittal,67,18000,Metals & Mining,India,M
63,Wang Wei,48,18000,Service,China,M
64,Leonid Mikhelson,62,18000,Energy,Russia,M
65,Charoen Sirivadhanabhakdi,73,17000,Food & Beverage,Thailand,M
66,Pallonji Mistry,88,17000,Construction & Engineering,Ireland,M
67,Ray Dalio,68,17000,Finance & Investments,United States,M
68,Takemitsu Takizaki,72,17000,Manufacturing,Japan,M
69,William Ding,46,17000,Technology,China,M
69,R. Budi Hartono,77,17000,Finance & Investments,Indonesia,M
69,Gina Rinehart,64,17000,Metals & Mining,Australia,F
72,German Larrea Mota Velasco,64,17000,Metals & Mining,Mexico,M
73,Carl Icahn,82,16000,Finance & Investments,United States,M
73,Stefan Persson,70,16000,Fashion & Retail,Sweden,M
75,Michael Hartono,78,16000,Manufacturing,Indonesia,M
75,Joseph Lau,66,16000,Real Estate,Hong Kong,M
78,Vagit Alekperov,67,16000,Energy,Russia,M
78,James Ratcliffe,65,16000,Manufacturing,United Kingdom,M
80,Donald Bren,85,16000,Real Estate,United States,M
80,Iris Fontbona,75,16000,Metals & Mining,Chile,F
82,Gennady Timchenko,65,16000,Energy,Russia,M
83,Abigail Johnson,56,15000,Finance & Investments,United States,F
83,Vladimir Potanin,57,15000,Metals & Mining,Russia,M
83,Lukas Walton,31,15000,Fashion & Retail,United States,M
86,Charlene de Carvalho-Heineken,63,15000,Food & Beverage,Netherlands,F
87,Zhang Zhidong,46,15000,Technology,China,M
88,Petr Kellner,53,15000,Finance & Investments,Czech Republic,M
88,Andrey Melnichenko,46,15000,Energy,Russia,M
91,Klaus-Michael Kuehne,80,15000,Logistics,Germany,M
91,Li Shufu,54,15000,Automotive,China,M
93,Mikhail Fridman,53,15000,Energy,Russia,M
94,Rupert Murdoch,86,15000,Media & Entertainment,United States,M
95,Dhanin Chearavanont,78,14000,Diversified,Thailand,M
96,Robert Kuok,94,14000,Diversified,Malaysia,M
97,Emmanuel Besnier,47,14000,Food & Beverage,France,M
98,Shiv Nadar,72,14000,Technology,India,M
99,Viktor Vekselberg,60,14000,Energy,Russia,M
100,Aliko Dangote,60,14000,Manufacturing,Nigeria,M
100,Harold Hamm,72,14000,Energy,United States,M
102,Steve Cohen,61,14000,Finance & Investments,United States,M
102,Dustin Moskovitz,33,14000,Technology,United States,M
102,Marcel Herrmann Telles,68,14000,Food & Beverage,Brazil,M
105,Reinhold Wuerth,82,13000,Manufacturing,Germany,M
106,Charles Ergen,65,13000,Media & Entertainment,United States,M
106,Eric Schmidt,62,13000,Technology,United States,M
108,Philip Anschutz,78,13000,Finance & Investments,United States,M
108,Jim Kennedy,70,13000,Media & Entertainment,United States,M
108,Blair Parry-Okeden,67,13000,Media & Entertainment,United States,F
108,Alain Wertheimer,69,13000,Fashion & Retail,France,M
108,Gerard Wertheimer,67,13000,Fashion & Retail,France,M
113,Leonard Lauder,80,12000,Fashion & Retail,United States,M
113,Heinz Hermann Thiele,76,12000,Construction & Engineering,Germany,M
115,Dilip Shanghvi,62,12000,Healthcare,India,M
116,Hasso Plattner,74,12000,Technology,Germany,M
117,Stephen Schwarzman,71,12000,Finance & Investments,United States,M
118,Lei Jun,48,12000,Technology,China,M
118,Hans Rausing,91,12000,Manufacturing,Sweden,M
118,Alisher Usmanov,64,12000,Metals & Mining,Russia,M
121,Donald Newhouse,88,12000,Media & Entertainment,United States,M
122,Peter Woo,71,12000,Real Estate,Hong Kong,M
123,Luis Carlos Sarmiento,85,12000,Finance & Investments,Colombia,M
124,Robin Li,49,12000,Technology,China,M
124,Carlos Alberto Sicupira,70,12000,Food & Beverage,Brazil,M
126,Seo Jung-Jin,60,11000,Healthcare,South Korea,M
127,Kumar Birla,50,11000,Diversified,India,M
127,Alexander Otto,50,11000,Real Estate,Germany,M
127,Stefano Pessina,76,11000,Fashion & Retail,Italy,M
130,Wang Wenyin,50,11000,Metals & Mining,China,M
132,Andrew Beal,65,11000,Finance & Investments,United States,M
132,Lee Man Tat,88,11000,Food & Beverage,Hong Kong,M
134,"John Menard, Jr.",78,11000,Fashion & Retail,United States,M
135,Xu Shihui,60,11000,Food & Beverage,China,M
135,Zhou Hongyi,47,11000,Technology,China,M
137,Gong Hongjia,53,11000,Finance & Investments,Hong Kong,M
138,Michael Otto,74,11000,Fashion & Retail,Germany,M
138,David Tepper,60,11000,Finance & Investments,United States,M
140,Roman Abramovich,51,10000,Diversified,Russia,M
140,Liu Qiangdong,43,10000,Technology,China,M
143,Alberto Bailleres Gonzalez,86,10000,Metals & Mining,Mexico,M
143,Uday Kotak,58,10000,Finance & Investments,India,M
145,Pierre Omidyar,50,10000,Technology,United States,M
146,Walter P.J. Droege,65,10000,Service,Germany,M
147,Dietmar Hopp,77,10000,Technology,Germany,M
148,Graeme Hart,62,10000,Finance & Investments,New Zealand,M
148,Eduardo Saverin,35,10000,Technology,Brazil,M
148,Yan Zhi,45,10000,Real Estate,China,M
151,Radhakishan Damani,63,10000,Finance & Investments,India,M
152,German Khan,56,9000,Energy,Russia,M
152,Ronald Perelman,75,9000,Finance & Investments,United States,M
154,Gautam Adani,55,9000,Diversified,India,M
154,Micky Arison,68,9000,Service,United States,M
154,Pan Zhengmin,48,9000,Technology,China,M
154,Joseph Tsai,54,9000,Technology,Canada,M
158,"Thomas Frist, Jr.",79,9000,Healthcare,United States,M
158,Mikhail Prokhorov,52,9000,Finance & Investments,Russia,M
160,Galen Weston,77,9000,Fashion & Retail,Canada,M
160,Zong Qinghou,72,9000,Food & Beverage,China,M
162,Eyal Ofer,67,9000,Diversified,Israel,M
162,Charles Schwab,80,9000,Finance & Investments,United States,M
164,"Herbert Kohler, Jr.",79,9000,Manufacturing,United States,M
164,Viktor Rashnikov,69,9000,Manufacturing,Russia,M
167,Harry Triguboff,85,9000,Real Estate,Australia,M
167,August von Finck,87,9000,Finance & Investments,Germany,M
167,Yao Zhenhua,48,9000,Diversified,China,M
170,Jan Koum,42,9000,Technology,United States,M
170,Cyrus Poonawalla,76,9000,Healthcare,India,M
172,James Goodnight,75,9000,Technology,United States,M
172,Ken Griffin,49,9000,Finance & Investments,United States,M
174,Giorgio Armani,83,8000,Fashion & Retail,Italy,M
174,Ernesto Bertarelli,52,8000,Healthcare,Switzerland,M
176,Savitri Jindal,67,8000,Metals & Mining,India,F
176,Sunil Mittal,60,8000,Telecom,India,M
178,James Chambers,60,8000,Media & Entertainment,United States,M
178,Katharine Rayner,73,8000,Media & Entertainment,United States,F
178,Margaretta Taylor,75,8000,Media & Entertainment,United States,F
181,Terry Gou,67,8000,Technology,Taiwan,M
181,Gordon Moore,89,8000,Technology,United States,M
183,James Irving,89,8000,Diversified,Canada,M
183,Stanley Kroenke,70,8000,Sports,United States,M
185,Melker Schorling,70,8000,Finance & Investments,Sweden,M
186,Johann Graf,71,8000,Gambling & Casinos,Austria,M
186,Guo Guangchang,51,8000,Diversified,China,M
186,John Malone,77,8000,Media & Entertainment,United States,M
186,Xavier Niel,50,8000,Telecom,France,M
190,Silvio Berlusconi,81,8000,Diversified,Italy,M
190,Carl Cook,55,8000,Healthcare,United States,M
190,David Geffen,75,8000,Media & Entertainment,United States,M
190,Hui Wing Mau,67,8000,Real Estate,Hong Kong,M
190,Walter Kwok,67,8000,Real Estate,Hong Kong,M
190,George Soros,87,8000,Finance & Investments,United States,M
196,"Edward Johnson, III.",87,7000,Finance & Investments,United States,M
196,Massimiliana Landini Aleotti,75,7000,Healthcare,Italy,F
198,David Duffield,77,7000,Technology,United States,M
198,George Kaiser,75,7000,Energy,United States,M
198,Patrick Soon-Shiong,65,7000,Healthcare,United States,M
198,Zhou Qunfei,48,7000,Technology,Hong Kong,F
202,Nicky Oppenheimer,72,7000,Metals & Mining,South Africa,M
202,Sun Piaoyang,59,7000,Healthcare,China,M
202,Wu Yajun,54,7000,Real Estate,China,F
205,Alexei Kuzmichev,55,7000,Energy,Russia,M
205,Stephen Ross,77,7000,Real Estate,United States,M
207,Vincent Bollore,65,7000,Finance & Investments,France,M
207,Pauline MacMillan Keinath,84,7000,Food & Beverage,United States,F
207,Jay Y. Lee,49,7000,Diversified,South Korea,M
207,Anders Holch Povlsen,45,7000,Fashion & Retail,Denmark,M
211,Eli Broad,84,7000,Finance & Investments,United States,M
211,Michael Kadoorie,76,7000,Energy,Hong Kong,M
211,Iskander Makhmudov,54,7000,Metals & Mining,Russia,M
211,Frederik Paulsen,67,7000,Healthcare,Sweden,M
211,Sun Hongbin,55,7000,Real Estate,United States,M
211,Christy Walton,69,7000,Fashion & Retail,United States,F
217,Shahid Khan,67,7000,Automotive,United States,M
217,Ananda Krishnan,79,7000,Telecom,Malaysia,M
217,Carrie Perrodo,67,7000,Energy,France,F
