rank,personName,age,finalWorth,category,country,gender_F,gender_M
132,Sunil Mittal & family,64,13900,17,56,0,1
134,Liu Hanyuan,58,13650,10,34,0,1
135,Joseph Lau,70,13600,12,17,0,1
135,Anders Holch Povlsen,49,13600,15,70,0,1
137,Dhanin Chearavanont,82,13500,4,13,0,1
138,Gong Hongjia & family,57,13200,0,17,0,1
138,Liu Yongxing,73,13200,8,34,0,1
138,Alexey Mordashov,56,13200,14,59,0,1
138,Wang Jianlin,67,13200,12,34,0,1
142,David Duffield,81,12900,2,49,0,1
142,Li Zhenguo & family,54,12900,3,34,0,1
144,Harry Triguboff,89,12800,12,54,0,1
144,Zhang Zhidong,50,12800,2,34,0,1
146,Chen Bang,56,12700,7,34,0,1
146,John Doerr,70,12700,2,49,0,1
149,Kwong Siu-hing,92,12600,12,17,1,0
150,Pei Zhenhua,63,12500,13,34,0,1
151,Ricardo Salinas Pliego & family,66,12400,15,32,0,1
152,Jim Pattison,93,12200,4,25,0,1
152,Charles Schwab,84,12200,0,49,0,1
154,Goh Cheng Liang,94,12100,3,52,0,1
154,Lin Jianhua & family,59,12100,3,34,0,1
156,Charoen Sirivadhanabhakdi,77,12000,10,13,0,1
156,Jeff Yass,63,12000,0,49,0,1
158,John Fredriksen,77,11900,5,35,0,1
158,Andreas Struengmann & family,72,11900,7,66,0,1
158,Thomas Struengmann & family,72,11900,7,66,0,1
161,Mikhail Fridman,57,11800,13,35,0,1
161,Sarath Ratanavadi,56,11800,13,13,0,1
163,Robert Kuok,98,11700,4,17,0,1
163,Lei Jun,52,11700,2,34,0,1
163,Zhang Congyuan,74,11700,15,63,0,1
166,Lui Che Woo,93,11600,11,17,0,1
167,Brian Chesky,40,11500,2,49,0,1
167,Israel Englander,73,11500,0,49,0,1
167,Dustin Moskovitz,37,11500,2,49,0,1
167,Alisher Usmanov,68,11500,14,59,0,1
171,Jay Chaudhry,62,11400,2,49,0,1
171,Anthony Pratt,61,11400,3,54,0,1
173,Colin Zheng Huang,42,11300,2,34,0,1
173,Jin Baofang,69,11300,13,34,0,1
173,Pierre Omidyar,54,11300,2,49,0,1
173,Gennady Timchenko,69,11300,13,59,0,1
177,Carl Cook,59,11100,7,49,0,1
177,Andrey Melnichenko,50,11100,14,59,0,1
179,Xing Wang,43,11000,2,34,0,1
180,Philip Anschutz,82,10900,0,49,0,1
180,David Cheriton,71,10900,2,49,0,1
180,Alexander Otto,54,10900,12,66,0,1
183,Diane Hendricks,75,10700,16,49,1,0
183,Stanley Kroenke,74,10700,9,49,0,1
185,Jerry Jones,79,10600,9,49,0,1
185,Quek Leng Chan,80,10600,4,20,0,1
185,Eduardo Saverin,40,10600,2,52,0,1
188,Vagit Alekperov,71,10500,13,59,0,1
188,Richard Qiangdong Liu,48,10500,2,34,0,1
188,Idan Ofer,66,10500,4,35,0,1
191,Melker Schorling & family,74,10400,0,37,0,1
192,"Chase Coleman, III.",46,10300,0,49,0,1
192,Shuirong Li,65,10300,3,34,0,1
192,Stefano Pessina,80,10300,15,30,0,1
192,Mikhail Prokhorov,56,10300,0,59,0,1
192,Marcel Herrmann Telles,72,10300,10,23,0,1
197,Leon Black,70,10000,0,49,0,1
197,Joe Gebbia,40,10000,2,49,0,1
197,David Geffen,79,10000,1,49,0,1
197,Yu Renrong,56,10000,3,34,0,1
201,Andrew Beal,69,9900,0,49,0,1
201,George Kaiser,79,9900,13,49,0,1
201,Qi Shi & family,52,9900,2,34,0,1
201,Luis Carlos Sarmiento,89,9900,0,29,0,1
201,Andreas von Bechtolsheim & family,66,9900,2,49,0,1
206,Jan Koum,46,9800,2,49,0,1
206,Jorge Moll Filho & family,77,9800,7,23,0,1
206,Azim Premji,76,9800,2,56,0,1
206,Finn Rausing,67,9800,10,35,0,1
206,Jorn Rausing,62,9800,10,35,0,1
206,Kirsten Rausing,69,9800,10,35,1,0
206,Wang Laisheng,57,9800,2,34,0,1
214,John Collison,31,9500,2,49,0,1
214,Patrick Collison,33,9500,2,49,0,1
214,Gordon Moore,93,9500,2,49,0,1
214,Wang Laichun,54,9500,2,34,1,0
218,Graeme Hart,66,9400,0,1,0,1
218,Zheng Shuliang & family,76,9400,14,34,1,0
220,Cao Renxian,53,9300,13,34,0,1
221,Nathan Blecharczyk,38,9200,2,49,0,1
221,James Dyson,74,9200,3,35,0,1
223,Ivan Glasenberg,65,9100,14,24,0,1
223,Kim Beom-su,56,9100,2,64,0,1
223,Jay Y. Lee,53,9100,4,64,0,1
223,Liu Yonghao & family,70,9100,8,34,0,1
227,Ann Walton Kroenke,73,9000,15,49,1,0
227,Li Ping,54,9000,6,34,0,1
227,Eric Wittouck,75,9000,0,30,0,1
230,Friedhelm Loh,75,8900,3,66,0,1
230,Xavier Niel,54,8900,17,71,0,1
230,Michael Otto,78,8900,15,66,0,1
230,Johann Rupert & family,71,8900,15,10,0,1
235,Hui Ka Yan,63,8800,12,34,0,1
235,Pauline MacMillan Keinath,88,8800,10,49,1,0
235,"Herbert Kohler, Jr. & family",83,8800,3,49,0,1
235,Li Ge,55,8800,7,34,0,1
235,Kushal Pal Singh,90,8800,12,56,0,1
235,Zong Qinghou,76,8800,10,34,0,1
241,Cai Kui,59,8700,12,34,0,1
241,Charles Ergen,69,8700,1,49,0,1
241,Gao Jifan & family,57,8700,13,34,0,1
241,Bernard Marcus,92,8700,15,49,0,1
241,Nicky Oppenheimer & family,76,8700,14,10,0,1
246,"Ernest Garcia, II.",64,8600,6,49,0,1
246,Paul Xiaoming Lee & family,64,8600,3,34,0,1
246,George Soros,91,8600,0,49,0,1
246,Wang Liping & family,56,8600,3,34,0,1
251,Ernesto Bertarelli,56,8500,7,24,0,1
251,Tamara Gustavson,60,8500,8,49,1,0
251,Carlos Alberto Sicupira & family,74,8500,10,24,0,1
254,Laurent Dassault,68,8400,4,71,0,1
254,Thierry Dassault,65,8400,4,71,0,1
254,Marie-Hélène Habert-Dassault,57,8400,4,71,1,0
254,Liu Jincheng & family,57,8400,2,34,0,1
254,Ma Jianrong & family,58,8400,15,34,0,1
254,Steven Rales,71,8400,3,49,0,1
254,Joseph Tsai,58,8400,2,17,0,1
254,Anthony von Mandl,72,8400,10,25,0,1
263,Carl Bennet,70,8300,0,37,0,1
263,Robert Kraft,80,8300,9,49,0,1
263,Chairul Tanjung,59,8300,4,7,0,1
263,Manuel Villar,72,8300,12,47,0,1
